Entity,Code,Year,machinery_per_ag_land
Dominican Republic,DOM,1961,0.0648
Dominican Republic,DOM,1970,0.0624
Dominican Republic,DOM,1980,0.0552
Dominican Republic,DOM,1990,0.0610999999999999
Dominican Republic,DOM,2000,0.0491
Dominican Republic,DOM,2010,0.0553
Dominican Republic,DOM,2019,0.0514
Kuwait,KWT,1961,0.0
Kuwait,KWT,1970,0.0
Kuwait,KWT,1980,0.166667
Kuwait,KWT,1990,0.3076919999999999
Kuwait,KWT,2000,0.148148
Kuwait,KWT,2010,0.0951999999999999
Kuwait,KWT,2019,0.0652
Malaysia,MYS,1961,0.0212
Malaysia,MYS,1970,0.0447
Malaysia,MYS,1980,0.0613
Malaysia,MYS,1990,0.154923
Malaysia,MYS,2000,0.250869
Malaysia,MYS,2010,0.367657
Malaysia,MYS,2019,0.507691
Puerto Rico,PRI,1961,0.334356
Puerto Rico,PRI,1970,0.688525
Puerto Rico,PRI,1980,0.925926
Puerto Rico,PRI,1990,0.8613139999999999
Puerto Rico,PRI,2000,1.033333
Puerto Rico,PRI,2010,1.494845
Puerto Rico,PRI,2019,1.207317
