Entity,Code,Year,GDP per capita,417485-annotations,Continent
Afghanistan,AFG,1950,1156.0,,
Afghanistan,AFG,2011,1792.0,,
Afghanistan,AFG,2018,1934.555,,
Albania,ALB,1950,1596.0,,
Albania,ALB,2011,9484.0,,
Albania,ALB,2018,11104.166,,
Algeria,DZA,1950,2176.0,,
Algeria,DZA,2011,13204.0,,
Algeria,DZA,2018,14228.025,,
Angola,AGO,1950,1677.0,,
Angola,AGO,2011,8016.0,,
Angola,AGO,2018,7771.442,,
Argentina,ARG,1950,7949.0,,
Argentina,ARG,2011,20003.0,,
Argentina,ARG,2018,18556.383,,
Australia,AUS,1950,11815.0,,
Australia,AUS,2011,46132.0,,
Australia,AUS,2018,49830.8,,
Austria,AUT,1950,5907.0,,
Austria,AUT,2011,41446.0,,
Austria,AUT,2018,42988.07,,
Bahrain,BHR,1950,3354.0,,
Bahrain,BHR,2011,36372.0,,
Bahrain,BHR,2018,39498.766,,
Bangladesh,BGD,1950,861.0,,
Bangladesh,BGD,2011,2772.0,,
Bangladesh,BGD,2018,4099.253,,
Botswana,BWA,1950,489.0,,
Botswana,BWA,2011,13376.0,,
Botswana,BWA,2018,15842.13,,
Bulgaria,BGR,1950,2632.0,,
Bulgaria,BGR,2011,15112.0,,
Bulgaria,BGR,2018,18444.26,,
Burkina Faso,BFA,1950,756.0,,
Burkina Faso,BFA,2011,1344.0,,
Burkina Faso,BFA,2018,1589.6241,,
Burundi,BDI,1950,595.0,,
Burundi,BDI,2011,719.0,,
Burundi,BDI,2018,651.3589,,
Cameroon,CMR,1950,1070.0,,
Cameroon,CMR,2011,2494.0,,
Cameroon,CMR,2018,2888.046,,
Chile,CHL,1950,5880.0,,
Chile,CHL,2011,19705.0,,
Chile,CHL,2018,22104.766,,
Congo,COG,1950,1693.0,,
Congo,COG,2011,5875.0,,
Congo,COG,2018,5714.592,,
Cyprus,CYP,1950,2885.0,,
Cyprus,CYP,2011,27272.0,,
Cyprus,CYP,2018,27184.416,,
Democratic Republic of Congo,COD,1950,909.0,,
Democratic Republic of Congo,COD,2011,681.0,,
Democratic Republic of Congo,COD,2018,859.3817,,
Eastern Europe (MPD),,1950,4082.103,,
Eastern Europe (MPD),,2018,20680.586,,
Israel,ISR,1950,4490.0,,
Israel,ISR,2011,29370.0,,
Israel,ISR,2018,32954.77,,
Kuwait,KWT,1950,46031.0,,
Kuwait,KWT,2011,77126.0,,
Kuwait,KWT,2018,65520.74,,
Malawi,MWI,1950,516.0,,
Malawi,MWI,2011,1102.0,,
Malawi,MWI,2018,1116.6403,,
Mauritania,MRT,1950,679.0,,
Mauritania,MRT,2011,3104.0,,
Mauritania,MRT,2018,3457.515,,
Netherlands,NLD,1950,9558.0,,
Netherlands,NLD,2011,44591.0,,
Netherlands,NLD,2018,47474.11,,
Norway,NOR,1950,8655.0,,
Norway,NOR,2011,80623.0,,
Norway,NOR,2018,84580.13,,
Paraguay,PRY,1950,2391.0,,
Paraguay,PRY,2011,7377.0,,
Paraguay,PRY,2018,9338.948,,
Qatar,QAT,1950,48436.0,,
Qatar,QAT,2011,155533.0,,
Qatar,QAT,2018,153764.17,,
United Arab Emirates,ARE,1950,25182.0,,
United Arab Emirates,ARE,2011,65307.0,,
United Arab Emirates,ARE,2018,76397.82,,
United States,USA,1950,15240.0,,
United States,USA,2011,49675.0,,
United States,USA,2018,55334.74,,
