Entity,Code,Year,Maize | 00000056 || Production | 005510 || tonnes
Morocco,MAR,1961,130000.0
Morocco,MAR,1970,319600.0
Morocco,MAR,1980,332700.0
Morocco,MAR,1990,435620.0
Morocco,MAR,2000,95000.0
Morocco,MAR,2010,279150.0
Morocco,MAR,2021,48637.3
New Zealand,NZL,1961,10262.0
New Zealand,NZL,1970,58624.0
New Zealand,NZL,1980,156461.0
New Zealand,NZL,1990,161651.0
New Zealand,NZL,2000,181000.0
New Zealand,NZL,2010,188812.0
New Zealand,NZL,2021,209281.0
Portugal,PRT,1961,632015.0
Portugal,PRT,1970,628195.0
Portugal,PRT,1980,532000.0
Portugal,PRT,1990,665560.0
Portugal,PRT,2000,881589.0
Portugal,PRT,2010,626222.0
Portugal,PRT,2021,752490.0
Sweden,SWE,2021,14900.0
Western Africa (FAO),,1961,2022383.0
Western Africa (FAO),,1970,2810320.0
Western Africa (FAO),,1980,2134165.0
Western Africa (FAO),,1990,8254032.0
Western Africa (FAO),,2000,8073118.0
Western Africa (FAO),,2010,15267474.0
Western Africa (FAO),,2021,27088742.0
