Entity,Code,Year,Male suicide rate (age-standardized),Female suicide rate (age-standardized),Population,Continent
Africa,,2017,14.15,4.63,1263333997.0,
Asia,,2017,12.65,7.91,4547095064.0,
Belarus,BLR,2017,35.1,5.83,9707874.0,
Brazil,BRA,2017,10.26,2.25,208504960.0,
Central African Republic,CAF,2017,28.06,6.72,4996741.0,
China,CHN,2017,8.82,5.65,1410275968.0,
Ethiopia,ETH,2017,14.47,4.56,108197944.0,
Europe,,2017,21.13,4.6,745657647.0,
Ghana,GHA,2017,19.45,1.85,30222266.0,
Greenland,GRL,2017,75.08,25.18,55951.0,
Guinea,GIN,2017,15.96,6.64,12240791.0,
Guyana,GUY,2017,43.23,10.11,763265.0,
India,IND,2017,17.97,13.33,1354195712.0,
Indonesia,IDN,2017,4.73,1.55,264498848.0,
Japan,JPN,2017,22.69,8.76,126662464.0,
Kazakhstan,KAZ,2017,40.41,7.82,18314822.0,
Kenya,KEN,2017,19.39,4.06,48948140.0,
Latvia,LVA,2017,31.59,4.46,1954861.0,
Lesotho,LSO,2017,41.92,21.07,2170622.0,
Liberia,LBR,2017,15.18,11.24,4796632.0,
Lithuania,LTU,2017,51.41,7.55,2904452.0,
Malaysia,MYS,2017,11.45,4.04,31975812.0,
Mongolia,MNG,2017,26.45,4.92,3096033.0,
Morocco,MAR,2017,7.0,7.29,35528116.0,
Mozambique,MOZ,2017,31.44,6.12,28569448.0,
North America,,2017,19.87,5.71,581258143.0,
Oceania,,2017,,,41817267.0,
Pakistan,PAK,2017,4.5,4.4,216379648.0,
Papua New Guinea,PNG,2017,34.81,10.81,9114803.0,
Poland,POL,2017,25.07,3.37,38532816.0,
Russia,RUS,2017,44.9,7.86,145452544.0,
South America,,2017,,,420982650.0,
South Korea,KOR,2017,30.94,12.07,51511640.0,
Suriname,SUR,2017,40.16,10.57,587566.0,
Taiwan,TWN,2017,18.67,8.61,23665028.0,
Uganda,UGA,2017,15.78,8.13,40127096.0,
United States,USA,2017,20.27,5.73,329791232.0,
Venezuela,VEN,2017,15.53,2.06,30563430.0,
Yemen,YEM,2017,8.38,3.68,30034386.0,
Zimbabwe,ZWE,2017,41.08,14.49,14751101.0,
