Entity,Code,Year,Age-standardized suicide rate - Sex: male,Age-standardized suicide rate - Sex: female,Population,Continent
Afghanistan,AFG,2019,6.19,5.67,37769496.0,
Africa,,2019,,,1327701380.0,
Antigua and Barbuda,ATG,2019,0.0,0.6,92127.0,
Asia,,2019,,,4627738749.0,
Brazil,BRA,2019,10.3203,2.76,211782880.0,
China,CHN,2019,8.63,4.8,1421864064.0,
Eswatini,SWZ,2019,78.6703,6.41,1169620.0,
Europe,,2019,,,747418251.0,
Ghana,GHA,2019,20.0375,1.79,31522294.0,
Guinea,GIN,2019,18.362,8.03,12877537.0,
Guyana,GUY,2019,64.9737,16.9595,798761.0,
India,IND,2019,14.6899,11.1221,1383112064.0,
Indonesia,IDN,2019,3.99,1.15,269582880.0,
Kazakhstan,KAZ,2019,30.877,6.94,18754260.0,
Kiribati,KIR,2019,53.56,9.45,124252.0,
Lesotho,LSO,2019,146.8871,34.559,2225710.0,
Micronesia (country),FSM,2019,44.3228,13.209,111392.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Russia,RUS,2019,38.1786,7.23,145742288.0,
South Africa,ZAF,2019,37.8794,9.83,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,29.6847,13.4311,51803832.0,
Uganda,UGA,2019,19.3883,3.7,42949076.0,
Ukraine,UKR,2019,32.7041,4.65,44211100.0,
United States,USA,2019,22.3985,6.77,334319680.0,
Zimbabwe,ZWE,2019,37.8141,13.4604,15354606.0,
