Entity,Code,Year,"Current number of cases of autism spectrum disorders per 100 people, in males aged age-standardized","Current number of cases of autism spectrum disorders per 100 people, in females aged age-standardized",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,0.6929194,0.17794159,25357168.0,
Brazil,BRA,2019,0.5390995,0.17337103,211782880.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,0.4476239,0.12705651,918472.0,
France,FRA,2019,0.75911224,0.15758526,64399760.0,
Germany,DEU,2019,0.9235545,0.20452094,83148144.0,
India,IND,2019,0.401892,0.16877477,1383112064.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,0.8349972,0.24623983,51803832.0,
Taiwan,TWN,2019,0.35006186,0.077679195,23777742.0,
United Kingdom,GBR,2019,1.2564083,0.21752742,66778660.0,
United States,USA,2019,1.0431867,0.24226393,334319680.0,
World,OWID_WRL,2019,0.56011796,0.1763315,7764951040.0,
