Entity,Code,Year,"Manufacturing, value added (% of GDP)"
Afghanistan,AFG,2010,12.522577
Afghanistan,AFG,2021,9.060748
Chile,CHL,1960,21.805393
Chile,CHL,1970,25.471209
Chile,CHL,1980,21.43178
Chile,CHL,1990,18.512024
Chile,CHL,2000,15.192527
Chile,CHL,2010,9.887174
Chile,CHL,2021,8.65663
European Union (27),,2000,17.508055
European Union (27),,2010,14.513001
European Union (27),,2021,14.729522
Guyana,GUY,1960,9.321453
Guyana,GUY,1970,10.64227
Guyana,GUY,1980,10.742705
Guyana,GUY,1990,4.551548
Guyana,GUY,2000,2.6412945
Guyana,GUY,2010,5.744109
Guyana,GUY,2021,3.1338274
Niger,NER,1970,4.6403065
Niger,NER,1980,3.7358491
Niger,NER,1990,10.469736
Niger,NER,2000,9.246692
Niger,NER,2010,6.9172053
Niger,NER,2021,7.6394534
Nigeria,NGA,1990,17.782595
Nigeria,NGA,2000,13.9334
Nigeria,NGA,2010,6.552817
Nigeria,NGA,2021,14.6107025
Spain,ESP,2000,16.23259
Spain,ESP,2010,11.397593
Spain,ESP,2021,11.53523
Zambia,ZMB,1960,3.7667801
Zambia,ZMB,1970,10.111919
Zambia,ZMB,1980,16.947382
Zambia,ZMB,1990,31.856892
Zambia,ZMB,2000,9.453297
Zambia,ZMB,2010,7.578284
Zambia,ZMB,2021,9.423861
