Entity,Code,Year,"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Fertility rate, total (births per woman)",Continent
Afghanistan,AFG,2017,638.0,5.129,
Albania,ALB,2017,15.0,1.491,
Algeria,DZA,2017,112.0,3.05,
Angola,AGO,2017,241.0,5.6,
Argentina,ARG,2017,39.0,2.168,
Bahamas,BHS,2017,70.0,1.426,
Bangladesh,BGD,2017,173.0,2.043,
Benin,BEN,2017,397.0,5.269,
Bhutan,BTN,2017,183.0,1.704,
Bolivia,BOL,2017,155.0,2.777,
Brunei,BRN,2017,31.0,1.881,
Burkina Faso,BFA,2017,320.0,5.162,
Burundi,BDI,2017,548.0,5.481,
Cameroon,CMR,2017,529.0,4.774,
Central African Republic,CAF,2017,829.0,6.048,
Chad,TCD,2017,1140.0,6.537,
Colombia,COL,2017,83.0,1.818,
Comoros,COM,2017,273.0,4.278,
Congo,COG,2017,378.0,4.433,
Democratic Republic of Congo,COD,2017,473.0,6.349,
Djibouti,DJI,2017,248.0,2.972,
East Timor,TLS,2017,142.0,3.596,
Egypt,EGY,2017,37.0,3.151,
Eritrea,ERI,2017,480.0,4.112,
Eswatini,SWZ,2017,437.0,3.015,
Gabon,GAB,2017,252.0,3.752,
Gambia,GMB,2017,597.0,5.091,
Ghana,GHA,2017,308.0,3.713,
Guinea-Bissau,GNB,2017,667.0,4.358,
Haiti,HTI,2017,480.0,3.016,
Iraq,IRQ,2017,79.0,3.73,
Kiribati,KIR,2017,92.0,3.431,
Lesotho,LSO,2017,544.0,3.187,
Libya,LBY,2017,72.0,2.626,
Madagascar,MDG,2017,335.0,4.109,
Mali,MLI,2017,562.0,6.251,
Mauritania,MRT,2017,766.0,4.664,
Myanmar,MMR,2017,250.0,2.234,
Namibia,NAM,2017,195.0,3.511,
Niger,NER,2017,509.0,7.084,
Nigeria,NGA,2017,917.0,5.523,
Palestine,PSE,2017,27.0,3.807,
Peru,PER,2017,88.0,2.281,
Samoa,WSM,2017,43.0,4.183,
Sao Tome and Principe,STP,2017,130.0,4.142,
Saudi Arabia,SAU,2017,17.0,2.584,
Senegal,SEN,2017,315.0,4.622,
Sierra Leone,SLE,2017,1120.0,4.389,
Zambia,ZMB,2017,213.0,4.614,
