Entity,Code,Year,Mean BMI (male)
Brunei,BRN,1975,22.90609085
Brunei,BRN,1980,23.26402454
Brunei,BRN,1985,23.63771747
Brunei,BRN,1990,24.09459297
Brunei,BRN,1995,24.59778998
Brunei,BRN,2000,25.14876936
Brunei,BRN,2005,25.75945376
Brunei,BRN,2010,26.43655022
Brunei,BRN,2016,27.31810115
Iraq,IRQ,1975,23.76701547
Iraq,IRQ,1980,24.33443607
Iraq,IRQ,1985,24.86543833
Iraq,IRQ,1990,25.35223954
Iraq,IRQ,1995,25.79969786
Iraq,IRQ,2000,26.23931397
Iraq,IRQ,2005,26.69322662
Iraq,IRQ,2010,27.22237355
Iraq,IRQ,2016,27.9517395
Peru,PER,1975,22.41898778
Peru,PER,1980,22.84262045
Peru,PER,1985,23.23197272
Peru,PER,1990,23.61070897
Peru,PER,1995,24.01590425
Peru,PER,2000,24.47614059
Peru,PER,2005,25.00082328
Peru,PER,2010,25.59962111
Peru,PER,2016,26.3662965
Syria,SYR,1975,23.6825698
Syria,SYR,1980,24.19307559
Syria,SYR,1985,24.69037137
Syria,SYR,1990,25.1840223
Syria,SYR,1995,25.67914436
Syria,SYR,2000,26.15333826
Syria,SYR,2005,26.5739175
Syria,SYR,2010,27.00175477
Syria,SYR,2016,27.55826342
Uganda,UGA,1975,18.19169157
Uganda,UGA,1980,18.68168841
Uganda,UGA,1985,19.19065456
Uganda,UGA,1990,19.6990069
Uganda,UGA,1995,20.13349333
Uganda,UGA,2000,20.49192105
Uganda,UGA,2005,20.83286055
Uganda,UGA,2010,21.17353728
Uganda,UGA,2016,21.61129409
World,OWID_WRL,1975,21.65514025
World,OWID_WRL,1980,21.9932762
World,OWID_WRL,1985,22.34358266
World,OWID_WRL,1990,22.66595437
World,OWID_WRL,1995,22.97138253
World,OWID_WRL,2000,23.2958214
World,OWID_WRL,2005,23.64687639
World,OWID_WRL,2010,24.01122392
World,OWID_WRL,2016,24.45710486
