Entity,Code,Year,Mean BMI (male)
Brazil,BRA,1975,22.5152231
Brazil,BRA,1980,22.95260483
Brazil,BRA,1985,23.3705726
Brazil,BRA,1990,23.77735439
Brazil,BRA,1995,24.1865803
Brazil,BRA,2000,24.62157116
Brazil,BRA,2005,25.10747459
Brazil,BRA,2010,25.68976399
Brazil,BRA,2016,26.47157714
Chad,TCD,1975,18.75689122
Chad,TCD,1980,19.3535099
Chad,TCD,1985,19.88940763
Chad,TCD,1990,20.35969557
Chad,TCD,1995,20.78091426
Chad,TCD,2000,21.18090442
Chad,TCD,2005,21.56335276
Chad,TCD,2010,21.84304352
Chad,TCD,2016,22.05057441
China,CHN,1975,20.89856909
China,CHN,1980,21.19858227
China,CHN,1985,21.54583503
China,CHN,1990,21.86010268
China,CHN,1995,22.16659986
China,CHN,2000,22.49666789
China,CHN,2005,22.9021595
China,CHN,2010,23.44923811
China,CHN,2016,24.27643908
India,IND,1975,18.51023809
India,IND,1980,19.08407889
India,IND,1985,19.60623008
India,IND,1990,20.01054074
India,IND,1995,20.32944734
India,IND,2000,20.68330202
India,IND,2005,21.04613709
India,IND,2010,21.37529485
India,IND,2016,21.81452731
United Kingdom,GBR,1975,24.12971132
United Kingdom,GBR,1980,24.50090154
United Kingdom,GBR,1985,24.93231714
United Kingdom,GBR,1990,25.4328426
United Kingdom,GBR,1995,25.99382672
United Kingdom,GBR,2000,26.55601653
United Kingdom,GBR,2005,27.0322719
United Kingdom,GBR,2010,27.32199832
United Kingdom,GBR,2016,27.47505756
United States,USA,1975,25.28900402
United States,USA,1980,25.59231223
United States,USA,1985,25.99341703
United States,USA,1990,26.50458938
United States,USA,1995,27.12153255
United States,USA,2000,27.76170662
United States,USA,2005,28.33478841
United States,USA,2010,28.7442759
United States,USA,2016,29.01322022
