Entity,Code,Year,Mean income or consumption,Mean income or consumption.1,Population,Continent
Africa,,2011,,,1082676070.0,
Africa,,2017,,,1263333997.0,
Africa,,2019,,,1327701380.0,
Angola,AGO,2011,,,24259120.0,
Angola,AGO,2017,,,30208634.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2011,,,4268479060.0,
Asia,,2017,,,4547095064.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2011,,,22357032.0,
Australia,AUS,2017,,,24590336.0,
Australia,AUS,2019,,,25357168.0,
Bangladesh,BGD,2011,,,150211008.0,
Bangladesh,BGD,2017,,,161793968.0,
Bangladesh,BGD,2019,,,165516224.0,
Bhutan,BTN,2017,10.762673,8.738133,756130.0,
Bhutan,BTN,2011,,,713338.0,
Bhutan,BTN,2019,,,767467.0,
Bolivia,BOL,2011,18.122355,12.63404,10396249.0,
Bolivia,BOL,2017,19.080784,13.302211,11435535.0,
Bolivia,BOL,2019,19.607672,13.669532,11777318.0,
Brazil,BRA,2011,18.371971,17.738682,198185296.0,
Brazil,BRA,2017,20.329958,19.629175,208504960.0,
Brazil,BRA,2019,21.11513,20.387281,211782880.0,
Chile,CHL,2011,17.844309,18.185493,17173568.0,
Chile,CHL,2017,25.014723,25.49301,18368582.0,
Chile,CHL,2019,,,19039484.0,
China,CHN,2011,7.897014,7.701449,1357095424.0,
China,CHN,2017,12.597817,12.28584,1410275968.0,
China,CHN,2019,14.174434,13.823411,1421864064.0,
Czechia,CZE,2011,31.774588,27.615929,10496379.0,
Czechia,CZE,2017,35.919323,31.2182,10531315.0,
Czechia,CZE,2019,39.36649,34.214203,10536876.0,
Egypt,EGY,2017,6.300635,5.061473,101789384.0,
Egypt,EGY,2019,6.7583957,5.429205,105618672.0,
Egypt,EGY,2011,,,89200056.0,
Europe,,2011,,,738734474.0,
Europe,,2017,,,745657647.0,
Europe,,2019,,,747418251.0,
Ghana,GHA,2011,,,26205940.0,
Ghana,GHA,2017,,,30222266.0,
Ghana,GHA,2019,,,31522294.0,
India,IND,2011,4.0718403,3.5991,1257621248.0,
India,IND,2017,4.6792083,4.1359525,1354195712.0,
India,IND,2019,4.9689527,4.3920574,1383112064.0,
Indonesia,IDN,2011,5.3871346,5.1059484,247099696.0,
Indonesia,IDN,2017,6.969378,6.5888066,264498848.0,
Indonesia,IDN,2019,7.3372326,6.9327364,269582880.0,
Malaysia,MYS,2011,23.169909,21.758362,29184140.0,
Malaysia,MYS,2017,,,31975812.0,
Malaysia,MYS,2019,,,32804024.0,
Maldives,MDV,2019,18.690468,16.944656,504518.0,
Maldives,MDV,2011,,,374450.0,
Maldives,MDV,2017,,,472449.0,
Mozambique,MOZ,2019,2.102978,1.9027388,30285602.0,
Mozambique,MOZ,2011,,,23760424.0,
Mozambique,MOZ,2017,,,28569448.0,
Nicaragua,NIC,2011,,,5942554.0,
Nicaragua,NIC,2017,,,6480534.0,
Nicaragua,NIC,2019,,,6663919.0,
Niger,NER,2011,2.3193524,2.3330936,17283118.0,
Niger,NER,2017,,,21737924.0,
Niger,NER,2019,,,23443400.0,
Nigeria,NGA,2011,,,165463744.0,
Nigeria,NGA,2017,,,193495904.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2011,,,548684151.0,
North America,,2017,,,581258143.0,
North America,,2019,,,590497015.0,
Oceania,,2011,,,37730469.0,
Oceania,,2017,,,41817267.0,
Oceania,,2019,,,43278474.0,
Peru,PER,2011,12.051245,11.89986,29477722.0,
Peru,PER,2017,13.282298,13.11545,31605488.0,
Peru,PER,2019,13.797074,13.623759,32824864.0,
Senegal,SEN,2011,3.3641634,3.115299,12875878.0,
Senegal,SEN,2017,,,15157793.0,
Senegal,SEN,2019,,,16000783.0,
South America,,2011,,,397135158.0,
South America,,2017,,,420982650.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2011,,,49169880.0,
South Korea,KOR,2017,,,51511640.0,
South Korea,KOR,2019,,,51803832.0,
Sri Lanka,LKA,2019,9.24845,8.663165,21649664.0,
Sri Lanka,LKA,2011,,,20859746.0,
Sri Lanka,LKA,2017,,,21506816.0,
United Kingdom,GBR,2011,50.91064,46.200542,63286360.0,
United Kingdom,GBR,2017,53.333534,48.399277,66064808.0,
United Kingdom,GBR,2019,55.15668,50.053753,66778660.0,
United States,USA,2011,69.40685,63.69267,313876608.0,
United States,USA,2017,76.575714,70.271324,329791232.0,
United States,USA,2019,85.874725,78.804756,334319680.0,
Vietnam,VNM,2011,,,88349104.0,
Vietnam,VNM,2017,,,94033048.0,
Vietnam,VNM,2019,,,95776712.0,
