Entity,Code,Year,"Number of one-year-olds not vaccinated with measles-containing vaccine, 1st dose"
Bahamas,BHS,1985,1185
Bahamas,BHS,1990,876
Bahamas,BHS,1995,696
Bahamas,BHS,2000,433
Bahamas,BHS,2005,923
Bahamas,BHS,2010,393
Bahamas,BHS,2015,298
Bahamas,BHS,2021,830
Brazil,BRA,1980,1515548
Brazil,BRA,1985,1229674
Brazil,BRA,1990,792389
Brazil,BRA,1995,452214
Brazil,BRA,2000,34554
Brazil,BRA,2005,63583
Brazil,BRA,2010,30087
Brazil,BRA,2015,117541
Brazil,BRA,2021,756071
Ghana,GHA,1980,391660
Ghana,GHA,1985,427324
Ghana,GHA,1990,218739
Ghana,GHA,1995,173336
Ghana,GHA,2000,62121
Ghana,GHA,2005,119973
Ghana,GHA,2010,54115
Ghana,GHA,2015,94415
Ghana,GHA,2021,52214
