Entity,Code,Year,Share - Question: mh6 - Friends/family have been anxious/depressed - Answer: Yes - Gender: male - Age group: all,Share - Question: mh6 - Friends/family have been anxious/depressed - Answer: Yes - Gender: female - Age group: all,Population,Continent
Africa,,2020,33.893734,33.06582,1360677453.0,
Asia,,2020,26.673529,25.01338,4663086623.0,
Australia,AUS,2020,44.94316,57.292385,25670052.0,
Bolivia,BOL,2020,54.05288,51.50309,11936169.0,
Brazil,BRA,2020,57.77725,66.02759,213196304.0,
Canada,CAN,2020,53.222187,63.32295,37888704.0,
China,CHN,2020,22.383965,21.36633,1424929792.0,
Colombia,COL,2020,49.103897,53.364937,50930656.0,
Cote d'Ivoire,CIV,2020,39.701694,34.59019,26811792.0,
Croatia,HRV,2020,36.157993,43.68244,4096872.0,
Ecuador,ECU,2020,53.797943,59.416096,17588596.0,
Egypt,EGY,2020,34.30716,36.7417,107465128.0,
Ethiopia,ETH,2020,24.624115,25.139547,117190920.0,
Europe,,2020,41.344257,45.444027,747462669.0,
Finland,FIN,2020,30.98552,49.570145,5529468.0,
Germany,DEU,2020,51.284756,53.01157,83328992.0,
Guinea,GIN,2020,36.80816,35.06906,13205157.0,
High-income countries,,2020,41.52577,46.58189,1218093003.0,
Hong Kong,HKG,2020,14.299225,26.827843,7500955.0,
Iran,IRN,2020,38.46382,44.8051,87290192.0,
Iraq,IRQ,2020,51.243725,49.40815,42556988.0,
Kyrgyzstan,KGZ,2020,23.978306,30.683977,6424880.0,
Laos,LAO,2020,20.534145,21.741394,7319397.0,
Lithuania,LTU,2020,14.235024,21.057005,2820269.0,
Low-income countries,,2020,28.686462,28.215921,680258922.0,
Lower-middle-income countries,,2020,30.469349,28.194563,3369707355.0,
Nicaragua,NIC,2020,54.38649,46.64826,6755900.0,
North America,,2020,45.401093,50.503376,594263186.0,
Oceania,,2020,45.72541,56.004036,43933757.0,
Peru,PER,2020,63.967937,67.46069,33304768.0,
Poland,POL,2020,27.343786,43.360527,38428368.0,
Russia,RUS,2020,34.63704,39.587437,145617328.0,
Saudi Arabia,SAU,2020,45.712708,28.987442,35997108.0,
South America,,2020,56.405186,61.4552,431530105.0,
South Korea,KOR,2020,21.63784,25.896503,51844688.0,
Sweden,SWE,2020,48.909317,58.188892,10368968.0,
Tanzania,TZA,2020,37.58776,24.947937,61704520.0,
Thailand,THA,2020,17.156158,19.316637,71475664.0,
Uzbekistan,UZB,2020,26.28047,32.69049,33526662.0,
Venezuela,VEN,2020,65.02194,55.369904,28490458.0,
Vietnam,VNM,2020,42.128773,37.75445,96648680.0,
World,OWID_WRL,2020,32.413044,33.21125,7840952832.0,
Zimbabwe,ZWE,2020,44.666897,45.39264,15669663.0,
