Entity,Code,Year,Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Cambodia,KHM,1960,10.60987
Cambodia,KHM,2000,40.40671
Cambodia,KHM,2014,69.84653
Eastern Europe,,1960,9.42057
Eastern Europe,,1980,28.62487
Eastern Europe,,2000,38.84017
Eastern Europe,,2014,49.35795
Spain,ESP,1827,3.17548
Spain,ESP,1840,3.23799
Spain,ESP,1860,4.377
Spain,ESP,1880,8.18343
Spain,ESP,1900,11.91687
Spain,ESP,1920,4.50368
Spain,ESP,1940,2.70966
Spain,ESP,1960,7.18074
Spain,ESP,1980,8.92534
Spain,ESP,2000,18.34282
Spain,ESP,2014,22.93965
Uzbekistan,UZB,2000,20.47183
Uzbekistan,UZB,2014,21.06669
