Entity,Code,Year,military_personnel_share
China,CHN,1900,0.2349751043876901
China,CHN,1950,0.6994364290972549
China,CHN,2000,0.2199508750287658
China,CHN,2016,0.1662272889205557
France,FRA,1816,0.4477611940298507
France,FRA,1850,1.23210777434746
France,FRA,1900,1.5947611710323577
France,FRA,1950,1.4256277554149894
France,FRA,2000,0.4976303317535545
France,FRA,2016,0.3229245530816891
India,IND,1950,0.0951735032501332
India,IND,2000,0.1285438341380065
India,IND,2016,0.1016485031011855
Japan,JPN,1900,0.4150797089880721
Japan,JPN,2000,0.1870353709929447
Japan,JPN,2016,0.1933478931341928
Russia,RUS,1816,1.7429193899782136
Russia,RUS,1850,1.2715328467153284
Russia,RUS,1900,0.8592927012791572
Russia,RUS,1950,2.3878939330834377
Russia,RUS,2000,0.6832999850272912
Russia,RUS,2016,0.5543013926996145
United Kingdom,GBR,1816,1.3063524590163935
United Kingdom,GBR,1850,0.7302717628251708
United Kingdom,GBR,1900,1.1833313084679868
United Kingdom,GBR,1950,1.361229650703335
United Kingdom,GBR,2000,0.3603603603603603
United Kingdom,GBR,2016,0.2356016963322136
United States,USA,1816,0.1963275204989028
United States,USA,1850,0.0902798675895275
United States,USA,1900,0.1655846715904013
United States,USA,1950,0.9588168462806445
United States,USA,2000,0.4907367158002134
United States,USA,2016,0.4286423738282947
