Entity,Code,Year,Millet | 00000079 || Yield | 005419 || tonnes per hectare
Austria,AUT,1961,1.5315
Austria,AUT,1970,2.6006
Austria,AUT,2000,2.2477999
Austria,AUT,2010,2.3332999
Ethiopia,ETH,2000,0.8867
Ethiopia,ETH,2010,1.5554999
Ethiopia,ETH,2021,2.2222
France,FRA,1961,1.3159
France,FRA,1970,1.49
France,FRA,1980,2.4519
France,FRA,2010,3.4345
India,IND,1961,0.4141
India,IND,1970,0.6035
India,IND,1980,0.5142
India,IND,1990,0.69049996
India,IND,2000,0.77449995
India,IND,2010,1.1273
India,IND,2021,1.3528
Kenya,KEN,1961,1.7333
Kenya,KEN,1970,1.7333
Kenya,KEN,1980,1.125
Kenya,KEN,1990,0.6477
Kenya,KEN,2000,0.479
Kenya,KEN,2010,0.54359996
Kenya,KEN,2021,0.50229996
Spain,ESP,1961,1.6319
Spain,ESP,1970,2.5832999
Spain,ESP,1980,2.0765
Spain,ESP,1990,3.2112
Spain,ESP,2000,2.6059
Spain,ESP,2010,2.0037
United States,USA,1961,1.1546
United States,USA,1970,1.3274
United States,USA,1980,1.3714
United States,USA,1990,1.5
United States,USA,2000,1.1086999
United States,USA,2010,1.7809
United States,USA,2021,1.3017
