Entity,Code,Year,Mobile cellular subscriptions
Brunei,BRN,1980,0
Brunei,BRN,1985,0
Brunei,BRN,1990,1772
Brunei,BRN,1995,35881
Brunei,BRN,2000,95000
Brunei,BRN,2005,232900
Brunei,BRN,2010,435104
Brunei,BRN,2015,463384
Brunei,BRN,2021,603486
Nigeria,NGA,1980,0
Nigeria,NGA,1985,0
Nigeria,NGA,1990,0
Nigeria,NGA,1995,13000
Nigeria,NGA,2000,30000
Nigeria,NGA,2005,18587000
Nigeria,NGA,2010,87297790
Nigeria,NGA,2015,150830100
Nigeria,NGA,2021,195128270
Oman,OMN,1980,0
Oman,OMN,1985,52
Oman,OMN,1990,2730
Oman,OMN,1995,8052
Oman,OMN,2000,162000
Oman,OMN,2005,1333225
Oman,OMN,2010,4606133
Oman,OMN,2015,6646655
Oman,OMN,2021,6115537
Puerto Rico,PRI,1980,0
Puerto Rico,PRI,1985,0
Puerto Rico,PRI,1990,20369
Puerto Rico,PRI,1995,287000
Puerto Rico,PRI,2000,1318099
Puerto Rico,PRI,2005,1993465
Puerto Rico,PRI,2010,2933988
Puerto Rico,PRI,2015,3204993
Puerto Rico,PRI,2021,3661176
Turkey,TUR,1980,0
Turkey,TUR,1985,0
Turkey,TUR,1990,31809
Turkey,TUR,1995,437130
Turkey,TUR,2000,16133405
Turkey,TUR,2005,43608964
Turkey,TUR,2010,61769636
Turkey,TUR,2015,73639260
Turkey,TUR,2021,86288830
