Entity,Code,Year,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
High-income countries,,2000,16.56678
High-income countries,,2005,14.780586
High-income countries,,2010,13.40608
High-income countries,,2015,12.539581
High-income countries,,2019,11.879692
Low-income countries,,2000,28.160892
Low-income countries,,2005,26.44994
Low-income countries,,2010,25.307587
Low-income countries,,2015,24.110886
Low-income countries,,2019,23.43797
Lower-middle-income countries,,2000,25.439714
Lower-middle-income countries,,2005,24.16586
Lower-middle-income countries,,2010,24.072754
Lower-middle-income countries,,2015,22.995157
Lower-middle-income countries,,2019,22.217234
Middle-income countries,,2000,24.545876
Middle-income countries,,2005,23.217318
Middle-income countries,,2010,21.821892
Middle-income countries,,2015,20.285645
Middle-income countries,,2019,19.45818
Upper-middle-income countries,,2000,23.761246
Upper-middle-income countries,,2005,22.365093
Upper-middle-income countries,,2010,19.678003
Upper-middle-income countries,,2015,17.579824
Upper-middle-income countries,,2019,16.613617
World,OWID_WRL,2000,22.905586
World,OWID_WRL,2005,21.561195
World,OWID_WRL,2010,20.26824
World,OWID_WRL,2015,18.983742
World,OWID_WRL,2019,18.283888
