Entity,Code,Year,Central death rate - Type: period - Sex: male - Age: 25,Central death rate - Type: period - Sex: female - Age: 25,Continent
Afghanistan,AFG,2021,0.630295,0.209351,
Albania,ALB,2021,0.063527995,0.032966,
American Samoa,ASM,2021,0.11277701,0.037691,
Andorra,AND,2021,0.028326,0.020762001,
Angola,AGO,2021,0.356546,0.22604802,
Argentina,ARG,2021,0.143073,0.057946,
Bahamas,BHS,2021,0.202298,0.075271,
Belize,BLZ,2021,0.368959,0.126064,
Benin,BEN,2021,0.449456,0.344995,
Bolivia,BOL,2021,0.239514,0.13152599,
Botswana,BWA,2021,0.340251,0.256204,
Brazil,BRA,2021,0.23757,0.076333004,
Cambodia,KHM,2021,0.282224,0.142262,
Cameroon,CMR,2021,0.37221,0.295456,
Central African Republic,CAF,2021,0.663296,0.48185697,
Chad,TCD,2021,0.754367,0.5662790000000001,
Colombia,COL,2021,0.313219,0.082076997,
Congo,COG,2021,0.27745202,0.237395,
Cook Islands,COK,2021,0.17590499,0.053198004,
Cote d'Ivoire,CIV,2021,0.395072,0.369395,
Democratic Republic of Congo,COD,2021,0.51132503,0.34375,
Djibouti,DJI,2021,0.461287,0.28417,
East Timor,TLS,2021,0.162691,0.131443,
Eswatini,SWZ,2021,0.564458,0.354175,
Ethiopia,ETH,2021,0.41033797,0.20634298,
Gambia,GMB,2021,0.421947,0.336939,
Ghana,GHA,2021,0.434448,0.28770502,
Guatemala,GTM,2021,0.273198,0.093086,
Kiribati,KIR,2021,0.20145102,0.156029,
Liberia,LBR,2021,0.314518,0.258106,
Myanmar,MMR,2021,0.329121,0.142433,
Niger,NER,2021,0.29388702,0.293295,
Nigeria,NGA,2021,0.669541,0.613971,
Sao Tome and Principe,STP,2021,0.24926,0.184765,
Somalia,SOM,2021,0.591582,0.395003,
Tokelau,TKL,2021,0.104175,0.11917,
Tuvalu,TUV,2021,0.44885798,0.24763298,
Uganda,UGA,2021,0.324515,0.222503,
Venezuela,VEN,2021,0.604409,0.10731,
Yemen,YEM,2021,0.447279,0.14264001,
