Entity,Code,Year,$2.15 a day - Share of population in poverty,Share of population multidimensionally poor (national) - Current margin estimate,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Bangladesh,BGD,2019,,24.640574,165516224.0,
Benin,BEN,2019,,,12290443.0,
Bolivia,BOL,2019,1.9205352,,11777318.0,
Cameroon,CMR,2019,,,25782342.0,
Central African Republic,CAF,2019,,,5209329.0,
Chad,TCD,2019,,84.17495,16126868.0,
China,CHN,2019,0.14242858,,1421864064.0,
Egypt,EGY,2019,1.4670148,,105618672.0,
Eswatini,SWZ,2019,,,1169620.0,
Ethiopia,ETH,2019,,68.736855,114120592.0,
Europe,,2019,,,747418251.0,
Gabon,GAB,2019,,,2242788.0,
Gambia,GMB,2019,,41.70908,2508882.0,
Ghana,GHA,2019,,,31522294.0,
Guatemala,GTM,2019,,,17106338.0,
India,IND,2019,12.731296,16.392805,1383112064.0,
Kenya,KEN,2019,,,50951452.0,
Kiribati,KIR,2019,1.6780767,,124252.0,
Laos,LAO,2019,,,7212058.0,
Lesotho,LSO,2019,,,2225710.0,
Liberia,LBR,2019,,52.323074,4985290.0,
Malawi,MWI,2019,70.0606,49.88339,18867340.0,
Mali,MLI,2019,,,20567430.0,
Mauritania,MRT,2019,,58.448082,4383853.0,
Mozambique,MOZ,2019,74.38077,61.933224,30285602.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,,,223293280.0,
Rwanda,RWA,2019,,48.822403,12835029.0,
Senegal,SEN,2019,,50.83238,16000783.0,
Sierra Leone,SLE,2019,,59.221962,8046830.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,,,43232092.0,
Tanzania,TZA,2019,,,59872584.0,
Tunisia,TUN,2019,,,12049319.0,
Yemen,YEM,2019,,,31546694.0,
Zambia,ZMB,2019,,,18380478.0,
Zimbabwe,ZWE,2019,39.75453,25.80004,15354606.0,
