Entity,Code,Year,Municipal water withdrawal
Brazil,BRA,1995,11500000000.0
Brazil,BRA,2005,16230000000.0
Brazil,BRA,2010,17210000000.0
China,CHN,1980,6769000000.0
China,CHN,1985,29690000000.0
China,CHN,1990,35000000000.0
China,CHN,1995,25160000000.0
China,CHN,2000,57500000000.0
China,CHN,2005,71000000000.0
China,CHN,2010,72900000000.0
China,CHN,2015,79400000000.0
India,IND,1975,11400000000.0
India,IND,1980,14050000000.0
India,IND,1985,18360000000.0
India,IND,1990,25000000000.0
India,IND,2000,42000000000.0
India,IND,2010,56000000000.0
Indonesia,IDN,1990,4729000000.0
Indonesia,IDN,2000,13130000000.0
Indonesia,IDN,2005,13990000000.0
Russia,RUS,1995,14300000000.0
Russia,RUS,2000,13400000000.0
South Africa,ZAF,1990,2281000000.0
South Africa,ZAF,1995,3092000000.0
South Africa,ZAF,2000,3904000000.0
South Africa,ZAF,2015,4184999999.999999
United States,USA,1990,60670000000.0
United States,USA,2000,64000000000.0
United States,USA,2005,65440000000.0
United States,USA,2010,62090000000.0
