Entity,Code,Year,GDP (constant 2015 US$)
Belarus,BLR,1990,29452556000
Belarus,BLR,2000,26115770000
Belarus,BLR,2010,53317530000
Belarus,BLR,2021,59948356000
Botswana,BWA,1960,203292540
Botswana,BWA,1970,463680900
Botswana,BWA,1980,1877731700
Botswana,BWA,1990,5274181600
Botswana,BWA,2000,8491773000
Botswana,BWA,2010,11353887000
Botswana,BWA,2021,16479434000
Brunei,BRN,1980,10920201000
Brunei,BRN,1990,9094892000
Brunei,BRN,2000,11348838000
Brunei,BRN,2010,12994803000
Brunei,BRN,2021,13215733000
Guatemala,GTM,1960,7658219000
Guatemala,GTM,1970,13085509000
Guatemala,GTM,1980,22681207000
Guatemala,GTM,1990,24741806000
Guatemala,GTM,2000,37033857000
Guatemala,GTM,2010,51426570000
Guatemala,GTM,2021,75085040000
Italy,ITA,1960,486316970000
Italy,ITA,1970,846950500000
Italy,ITA,1980,1229990800000
Italy,ITA,1990,1559247700000
Italy,ITA,2000,1842128700000
Italy,ITA,2010,1900325800000
Italy,ITA,2021,1862306200000
Kenya,KEN,1960,6102052400
Kenya,KEN,1970,9456577000
Kenya,KEN,1980,20428055000
Kenya,KEN,1990,30431945000
Kenya,KEN,2000,36630893000
Kenya,KEN,2010,55748903000
Kenya,KEN,2021,90372800000
Netherlands,NLD,1960,163993140000
Netherlands,NLD,1970,278540060000
Netherlands,NLD,1980,373069000000
Netherlands,NLD,1990,465082450000
Netherlands,NLD,2000,644297600000
Netherlands,NLD,2010,737565740000
Netherlands,NLD,2021,846872840000
Nigeria,NGA,1960,65552404000
Nigeria,NGA,1970,101078130000
Nigeria,NGA,1980,160616330000
Nigeria,NGA,1990,153178780000
Nigeria,NGA,2000,179675480000
Nigeria,NGA,2010,385856140000
Nigeria,NGA,2021,518476820000
Serbia,SRB,2000,24001645000
Serbia,SRB,2010,37959856000
Serbia,SRB,2021,48616505000
Tuvalu,TUV,1990,21561952
Tuvalu,TUV,2000,29171504
Tuvalu,TUV,2010,30560624
Tuvalu,TUV,2021,47924612
