Entity,Code,Year,0-27 days probability of death
Afghanistan,AFG,1950,7.34
Afghanistan,AFG,1960,6.96
Afghanistan,AFG,1970,6.46
Afghanistan,AFG,1980,6.16
Afghanistan,AFG,1990,4.82
Afghanistan,AFG,2000,4.22
Afghanistan,AFG,2010,3.02
Afghanistan,AFG,2019,2.5
Ethiopia,ETH,1950,7.69
Ethiopia,ETH,1960,7.18
Ethiopia,ETH,1970,6.84
Ethiopia,ETH,1980,6.24
Ethiopia,ETH,1990,5.53
Ethiopia,ETH,2000,4.84
Ethiopia,ETH,2010,3.78
Ethiopia,ETH,2019,2.66
Qatar,QAT,1950,3.12
Qatar,QAT,1960,3.0
Qatar,QAT,1970,2.66
Qatar,QAT,1980,1.84
Qatar,QAT,1990,1.38
Qatar,QAT,2000,0.96
Qatar,QAT,2010,0.59
Qatar,QAT,2019,0.42
Uzbekistan,UZB,1950,3.48
Uzbekistan,UZB,1960,2.94
Uzbekistan,UZB,1970,2.48
Uzbekistan,UZB,1980,2.1
Uzbekistan,UZB,1990,1.99
Uzbekistan,UZB,2000,2.0
Uzbekistan,UZB,2010,1.56
Uzbekistan,UZB,2019,1.11
