Entity,Code,Year,Net imports - TWh
Greenland,GRL,2000,0.0
Greenland,GRL,2005,0.0
Greenland,GRL,2010,0.0
Greenland,GRL,2015,0.0
Greenland,GRL,2021,0.0
Malawi,MWI,2000,0.0
Malawi,MWI,2005,-0.01
Malawi,MWI,2010,-0.02
Malawi,MWI,2015,-0.02
Malawi,MWI,2021,0.0
Mozambique,MOZ,2000,-6.49
Mozambique,MOZ,2005,-2.41
Mozambique,MOZ,2010,-3.54
Mozambique,MOZ,2015,-3.3
Mozambique,MOZ,2021,-3.67
Myanmar,MMR,2000,0.0
Myanmar,MMR,2005,0.0
Myanmar,MMR,2010,0.0
Myanmar,MMR,2015,0.0
Myanmar,MMR,2021,-1.34
Western Sahara,ESH,2000,0.0
Western Sahara,ESH,2005,0.0
Western Sahara,ESH,2010,0.0
Western Sahara,ESH,2015,0.0
Western Sahara,ESH,2021,0.0
