Entity,Code,Year,Net imports - TWh
Canada,CAN,2000,-35.83
Canada,CAN,2005,-23.85
Canada,CAN,2010,-25.7
Canada,CAN,2015,-62.18
Canada,CAN,2020,-57.58
Canada,CAN,2022,-42.03
France,FRA,1990,-45.44
France,FRA,1995,-69.84
France,FRA,2000,-69.48
France,FRA,2005,-60.33
France,FRA,2010,-30.71
France,FRA,2015,-64.06
France,FRA,2020,-45.04
France,FRA,2022,15.11
Sweden,SWE,1990,-1.77
Sweden,SWE,1995,-1.68
Sweden,SWE,2000,4.68
Sweden,SWE,2005,-7.39
Sweden,SWE,2010,2.08
Sweden,SWE,2015,-22.6
Sweden,SWE,2020,-25.0
Sweden,SWE,2022,-33.22
United Kingdom,GBR,1990,11.94
United Kingdom,GBR,1995,16.31
United Kingdom,GBR,2000,14.17
United Kingdom,GBR,2005,8.32
United Kingdom,GBR,2010,2.66
United Kingdom,GBR,2015,21.11
United Kingdom,GBR,2020,17.66
United Kingdom,GBR,2022,-5.33
United States,USA,2000,33.76
United States,USA,2005,24.78
United States,USA,2010,25.98
United States,USA,2015,66.67
United States,USA,2020,47.31
United States,USA,2022,41.21
