Entity,Code,Year,Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Number)
Democratic Republic of Congo,COD,1990,41525
Democratic Republic of Congo,COD,1995,42366
Democratic Republic of Congo,COD,2000,40469
Democratic Republic of Congo,COD,2005,35888
Democratic Republic of Congo,COD,2010,30555
Democratic Republic of Congo,COD,2015,22254
Democratic Republic of Congo,COD,2019,14046
Ethiopia,ETH,1990,80910
Ethiopia,ETH,1995,77108
Ethiopia,ETH,2000,64351
Ethiopia,ETH,2005,50222
Ethiopia,ETH,2010,36508
Ethiopia,ETH,2015,25996
Ethiopia,ETH,2019,19592
India,IND,1990,522086
India,IND,1995,451021
India,IND,2000,376995
India,IND,2005,318240
India,IND,2010,255367
India,IND,2015,191418
India,IND,2019,128512
Nigeria,NGA,1990,140956
Nigeria,NGA,1995,167075
Nigeria,NGA,2000,181974
Nigeria,NGA,2005,172387
Nigeria,NGA,2010,156343
Nigeria,NGA,2015,150483
Nigeria,NGA,2019,129444
Pakistan,PAK,1990,67871
Pakistan,PAK,1995,71284
Pakistan,PAK,2000,69247
Pakistan,PAK,2005,62901
Pakistan,PAK,2010,60553
Pakistan,PAK,2015,56640
Pakistan,PAK,2019,46646
