Entity,Code,Year,Number of ongoing conflicts - Hostility level: Threat to use force,Number of ongoing conflicts - Hostility level: Display of force,Number of ongoing conflicts - Hostility level: Use of force,Number of ongoing conflicts - Hostility level: War
Europe,,1816,0,0,1,0
Europe,,1823,0,0,0,1
Europe,,1830,0,1,0,0
Europe,,1837,0,0,2,0
Europe,,1844,0,0,0,0
Europe,,1851,0,0,0,0
Europe,,1858,0,1,2,0
Europe,,1865,0,2,1,1
Europe,,1872,1,0,2,0
Europe,,1879,0,0,0,0
Europe,,1886,0,0,2,0
Europe,,1893,0,0,2,1
Europe,,1900,0,2,0,1
Europe,,1907,0,0,1,0
Europe,,1914,1,4,3,1
Europe,,1921,0,2,6,3
Europe,,1928,0,0,1,0
Europe,,1935,0,1,2,1
Europe,,1942,0,1,7,1
Europe,,1949,0,0,7,0
Europe,,1956,0,2,2,2
Europe,,1963,0,5,5,0
Europe,,1970,0,0,2,1
Europe,,1977,0,3,1,1
Europe,,1984,0,3,5,0
Europe,,1991,0,2,0,1
Europe,,1998,0,2,6,0
Europe,,2005,0,3,2,0
Europe,,2014,0,7,3,0
