Entity,Code,Year,Number of maternal deaths
East Asia and Pacific (WB),,2000,36000
East Asia and Pacific (WB),,2002,34000
East Asia and Pacific (WB),,2004,33000
East Asia and Pacific (WB),,2006,31000
East Asia and Pacific (WB),,2008,29000
East Asia and Pacific (WB),,2010,27000
East Asia and Pacific (WB),,2012,26000
East Asia and Pacific (WB),,2014,24000
East Asia and Pacific (WB),,2016,22000
East Asia and Pacific (WB),,2017,21000
Europe and Central Asia (WB),,2000,2800
Europe and Central Asia (WB),,2002,2600
Europe and Central Asia (WB),,2004,2400
Europe and Central Asia (WB),,2006,2200
Europe and Central Asia (WB),,2008,2000
Europe and Central Asia (WB),,2010,1900
Europe and Central Asia (WB),,2012,1700
Europe and Central Asia (WB),,2014,1600
Europe and Central Asia (WB),,2016,1500
Europe and Central Asia (WB),,2017,1400
Latin America and Caribbean (WB),,2000,11000
Latin America and Caribbean (WB),,2002,11000
Latin America and Caribbean (WB),,2004,10000
Latin America and Caribbean (WB),,2006,9800
Latin America and Caribbean (WB),,2008,9500
Latin America and Caribbean (WB),,2010,9100
Latin America and Caribbean (WB),,2012,8600
Latin America and Caribbean (WB),,2014,8300
Latin America and Caribbean (WB),,2016,8000
Latin America and Caribbean (WB),,2017,7800
Middle East and North Africa (WB),,2000,7500
Middle East and North Africa (WB),,2002,6900
Middle East and North Africa (WB),,2004,6900
Middle East and North Africa (WB),,2006,7000
Middle East and North Africa (WB),,2008,6200
Middle East and North Africa (WB),,2010,5900
Middle East and North Africa (WB),,2012,5900
Middle East and North Africa (WB),,2014,6100
Middle East and North Africa (WB),,2016,5900
Middle East and North Africa (WB),,2017,5800
North America (WB),,2000,500
North America (WB),,2002,550
North America (WB),,2004,580
North America (WB),,2006,610
North America (WB),,2008,630
North America (WB),,2010,640
North America (WB),,2012,660
North America (WB),,2014,680
North America (WB),,2016,770
North America (WB),,2017,760
South Asia (WB),,2000,152000
South Asia (WB),,2002,139000
South Asia (WB),,2004,125000
South Asia (WB),,2006,112000
South Asia (WB),,2008,99000
South Asia (WB),,2010,86000
South Asia (WB),,2012,75000
South Asia (WB),,2014,67000
South Asia (WB),,2016,60000
South Asia (WB),,2017,57000
Sub-Saharan Africa (WB),,2000,241000
Sub-Saharan Africa (WB),,2002,241000
Sub-Saharan Africa (WB),,2004,236000
Sub-Saharan Africa (WB),,2006,224000
Sub-Saharan Africa (WB),,2008,217000
Sub-Saharan Africa (WB),,2010,212000
Sub-Saharan Africa (WB),,2012,208000
Sub-Saharan Africa (WB),,2014,206000
Sub-Saharan Africa (WB),,2016,202000
Sub-Saharan Africa (WB),,2017,200000
