Entity,Code,Year,Number of patents awarded
England,,1700,2
England,,1720,7
England,,1740,4
England,,1760,14
England,,1780,33
England,,1800,96
England,,1820,97
England,,1840,440
England,,1851,455
Ireland,IRL,1700,0
Ireland,IRL,1720,0
Ireland,IRL,1740,0
Ireland,IRL,1760,0
Ireland,IRL,1780,3
Ireland,IRL,1800,3
Ireland,IRL,1820,11
Ireland,IRL,1840,60
Ireland,IRL,1851,71
Scotland,,1700,0
Scotland,,1720,0
Scotland,,1740,0
Scotland,,1760,0
Scotland,,1780,1
Scotland,,1800,20
Scotland,,1820,18
Scotland,,1840,166
Scotland,,1851,188
