Entity,Code,Year,Number of moderately or severely food insecure people (million) (3-year average) | 00210081 || Value | 006132 || million Number
Cambodia,KHM,2015,7600000.0
Cambodia,KHM,2016,7200000.0
Cambodia,KHM,2017,7200000.0
Cambodia,KHM,2018,7200000.0
Cambodia,KHM,2019,7700000.0
Cambodia,KHM,2020,8400000.0
Eswatini,SWZ,2020,800000.0
Indonesia,IDN,2015,15500000.0
Indonesia,IDN,2016,19000000.0
Indonesia,IDN,2017,20000000.0
Indonesia,IDN,2018,18700000.0
Indonesia,IDN,2019,16800000.0
Indonesia,IDN,2020,16500000.0
Kenya,KEN,2015,24300000.0
Kenya,KEN,2016,26900000.0
Kenya,KEN,2017,30600000.0
Kenya,KEN,2018,33100000.0
Kenya,KEN,2019,35600000.0
Kenya,KEN,2020,37400000.0
Mexico,MEX,2015,31200000.0
Mexico,MEX,2016,30000000.0
Mexico,MEX,2017,28700000.0
Mexico,MEX,2018,29000000.0
Mexico,MEX,2019,31300000.0
Mexico,MEX,2020,33700000.0
Namibia,NAM,2015,1200000.0
Namibia,NAM,2016,1300000.0
Namibia,NAM,2017,1300000.0
Namibia,NAM,2018,1400000.0
Namibia,NAM,2019,1400000.0
Namibia,NAM,2020,1500000.0
Nigeria,NGA,2015,62800000.0
Nigeria,NGA,2016,71900000.0
Nigeria,NGA,2017,81800000.0
Nigeria,NGA,2018,92200000.0
Nigeria,NGA,2019,107600000.0
Nigeria,NGA,2020,120500000.0
Philippines,PHL,2018,44000000.0
Philippines,PHL,2019,46100000.0
Philippines,PHL,2020,48000000.0
Sierra Leone,SLE,2015,5400000.0
Sierra Leone,SLE,2016,6000000.0
Sierra Leone,SLE,2017,6200000.0
Sierra Leone,SLE,2018,6400000.0
Sierra Leone,SLE,2019,6700000.0
Sierra Leone,SLE,2020,6900000.0
Tanzania,TZA,2015,25100000.0
Tanzania,TZA,2016,29200000.0
Tanzania,TZA,2017,31000000.0
Tanzania,TZA,2018,31600000.0
Tanzania,TZA,2019,32700000.000000004
Tanzania,TZA,2020,34400000.0
