Entity,Code,Year,Prevalence - Neoplasms - Sex: Both - Age: All Ages (Number)
Barbados,BRB,1990,2818.28816323
Barbados,BRB,1995,3428.93640117
Barbados,BRB,2000,4097.55700614
Barbados,BRB,2005,4595.19721997
Barbados,BRB,2010,5441.81449811
Barbados,BRB,2015,6132.5537777
Barbados,BRB,2017,6390.35405763
New Zealand,NZL,1990,96024.1505341
New Zealand,NZL,1995,116074.643226
New Zealand,NZL,2000,127839.349447
New Zealand,NZL,2005,139398.729042
New Zealand,NZL,2010,153471.693645
New Zealand,NZL,2015,176984.142115
New Zealand,NZL,2017,186914.462366
Pakistan,PAK,1990,247917.461483
Pakistan,PAK,1995,306960.870991
Pakistan,PAK,2000,408407.568312
Pakistan,PAK,2005,487514.05368
Pakistan,PAK,2010,623295.950461
Pakistan,PAK,2015,775021.482698
Pakistan,PAK,2017,840999.583482
