Entity,Code,Year,"Number of daily smokers - both (IHME, GHDx (2012))"
Finland,FIN,1980,935827
Finland,FIN,1985,934348
Finland,FIN,1990,975130
Finland,FIN,1995,900414
Finland,FIN,2000,910837
Finland,FIN,2005,858963
Finland,FIN,2010,743060
Finland,FIN,2012,743091
Germany,DEU,1980,19743623
Germany,DEU,1985,20268349
Germany,DEU,1990,19498500
Germany,DEU,1995,17535172
Germany,DEU,2000,17762305
Germany,DEU,2005,16664869
Germany,DEU,2010,16082376
Germany,DEU,2012,15844341
Italy,ITA,1980,13851670
Italy,ITA,1985,13900456
Italy,ITA,1990,13804637
Italy,ITA,1995,12577003
Italy,ITA,2000,11445640
Italy,ITA,2005,11311751
Italy,ITA,2010,11548631
Italy,ITA,2012,11659468
Japan,JPN,1980,32604675
Japan,JPN,1985,32780073
Japan,JPN,1990,31788630
Japan,JPN,1995,32410758
Japan,JPN,2000,31892212
Japan,JPN,2005,28324362
Japan,JPN,2010,24043328
Japan,JPN,2012,23340781
Peru,PER,1980,1001165
Peru,PER,1985,1165539
Peru,PER,1990,1349357
Peru,PER,1995,1551959
Peru,PER,2000,1847584
Peru,PER,2005,2099415
Peru,PER,2010,2269944
Peru,PER,2012,2345470
Singapore,SGP,1980,306001
Singapore,SGP,1985,321563
Singapore,SGP,1990,335721
Singapore,SGP,1995,352461
Singapore,SGP,2000,358342
Singapore,SGP,2005,381135
Singapore,SGP,2010,416365
Singapore,SGP,2012,422659
Thailand,THA,1980,7217641
Thailand,THA,1985,8445905
Thailand,THA,1990,9860394
Thailand,THA,1995,10755519
Thailand,THA,2000,10566834
Thailand,THA,2005,9967910
Thailand,THA,2010,10462808
Thailand,THA,2012,10739255
United Kingdom,GBR,1980,16434009
United Kingdom,GBR,1985,15128669
United Kingdom,GBR,1990,13572064
United Kingdom,GBR,1995,13267456
United Kingdom,GBR,2000,12922470
United Kingdom,GBR,2005,11718477
United Kingdom,GBR,2010,10407816
United Kingdom,GBR,2012,10355707
Vietnam,VNM,1980,8678587
Vietnam,VNM,1985,10533429
Vietnam,VNM,1990,12839422
Vietnam,VNM,1995,14539126
Vietnam,VNM,2000,14126647
Vietnam,VNM,2005,13189657
Vietnam,VNM,2010,13748889
Vietnam,VNM,2012,14464714
