Entity,Code,Year,The totalpopulation not using safely managed drinking water services
Bulgaria,BGR,2000,836998.9
Bulgaria,BGR,2005,604302.3
Bulgaria,BGR,2010,388929.66
Bulgaria,BGR,2015,236666.86
Bulgaria,BGR,2020,281464.6
Bulgaria,BGR,2022,294720.97
Canada,CAN,2000,562504.75
Canada,CAN,2005,566742.75
Canada,CAN,2010,496523.62
Canada,CAN,2015,422331.6
Canada,CAN,2020,364130.12
Canada,CAN,2022,369266.8
Lesotho,LSO,2000,1821699.0
Lesotho,LSO,2005,1712005.2
Lesotho,LSO,2010,1650850.4
Lesotho,LSO,2015,1632088.8
Lesotho,LSO,2020,1633733.9
Lesotho,LSO,2022,1655179.2
Lower-middle-income countries,,2000,1262790900.0
Lower-middle-income countries,,2005,1281773000.0
Lower-middle-income countries,,2010,1273872500.0
Lower-middle-income countries,,2015,1226425600.0
Lower-middle-income countries,,2020,1174010600.0
Lower-middle-income countries,,2022,1154863700.0
Turks and Caicos Islands,TCA,2020,23410.787
Turks and Caicos Islands,TCA,2022,24183.707
