Entity,Code,Year,"Nurses and midwives (per 1,000 people)"
Australia,AUS,2000,10.0871
Australia,AUS,2005,9.7628
Australia,AUS,2010,10.4017
Australia,AUS,2015,12.2016
Australia,AUS,2019,13.2416
Botswana,BWA,2000,2.6282
Botswana,BWA,2005,2.4835
Botswana,BWA,2010,2.9269
Brazil,BRA,1990,0.9495
Brazil,BRA,1995,1.5762
Brazil,BRA,2000,3.7709
Brazil,BRA,2015,9.1081
Brazil,BRA,2019,7.4008
France,FRA,2000,7.1139
France,FRA,2005,8.1181
France,FRA,2010,9.0124
France,FRA,2015,10.5952
Israel,ISR,2000,7.7566
Israel,ISR,2005,6.9713
Israel,ISR,2010,5.8028
Israel,ISR,2015,5.9576
Israel,ISR,2019,6.6047
United Kingdom,GBR,2000,10.7638
United Kingdom,GBR,2005,11.87
United Kingdom,GBR,2010,10.4991
United Kingdom,GBR,2015,9.7357
United Kingdom,GBR,2019,10.2922
United States,USA,1995,8.94
United States,USA,2000,9.4673
United States,USA,2005,9.9177
United States,USA,2010,12.5927
