Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years","Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%) - Sex: female - Age group: 18+  years",Continent
Afghanistan,AFG,2016,3.2,7.6,
Africa (WHO),,2016,5.6,15.3,
Albania,ALB,2016,21.6,21.8,
Algeria,DZA,2016,19.9,34.9,
Americas (WHO),,2016,25.9,31.0,
Andorra,AND,2016,25.9,25.3,
Antigua and Barbuda,ATG,2016,11.6,25.9,
Armenia,ARM,2016,17.1,23.0,
Australia,AUS,2016,29.6,28.4,
Austria,AUT,2016,21.9,18.3,
Bahamas,BHS,2016,24.4,38.1,
Barbados,BRB,2016,14.7,31.3,
Belarus,BLR,2016,22.1,26.3,
Bolivia,BOL,2016,14.5,25.6,
Botswana,BWA,2016,8.1,29.3,
Brunei,BRN,2016,12.5,15.7,
China,CHN,2016,5.9,6.5,
Colombia,COL,2016,17.6,26.6,
Cook Islands,COK,2016,52.6,59.2,
Costa Rica,CRI,2016,21.1,30.4,
Djibouti,DJI,2016,8.6,18.3,
Eswatini,SWZ,2016,5.4,26.2,
Germany,DEU,2016,24.2,20.4,
Hungary,HUN,2016,28.2,24.6,
India,IND,2016,2.7,5.1,
Japan,JPN,2016,4.8,3.7,
Jordan,JOR,2016,28.2,43.1,
Kiribati,KIR,2016,41.6,50.4,
Kuwait,KWT,2016,33.3,45.6,
Kyrgyzstan,KGZ,2016,14.0,18.6,
Maldives,MDV,2016,5.8,11.4,
Marshall Islands,MHL,2016,48.4,57.3,
Namibia,NAM,2016,7.5,25.4,
Nauru,NRU,2016,58.7,63.3,
Niue,NIU,2016,44.8,55.1,
Qatar,QAT,2016,32.5,43.1,
Samoa,WSM,2016,39.9,55.0,
Slovenia,SVN,2016,19.4,21.0,
South Africa,ZAF,2016,15.4,39.6,
United States,USA,2016,35.5,37.0,
