Entity,Code,Year,"Children out of school, primary, female"
East Asia and Pacific (WB),,1986,11613177
East Asia and Pacific (WB),,1990,5572290
East Asia and Pacific (WB),,1995,8880029
East Asia and Pacific (WB),,2000,5275885
East Asia and Pacific (WB),,2005,4379644
East Asia and Pacific (WB),,2010,2973557
East Asia and Pacific (WB),,2015,2990473
East Asia and Pacific (WB),,2019,3203703
Europe and Central Asia (WB),,1986,1554513
Europe and Central Asia (WB),,1990,1326488
Europe and Central Asia (WB),,1995,1495540
Europe and Central Asia (WB),,2000,1011371
Europe and Central Asia (WB),,2005,797067
Europe and Central Asia (WB),,2010,584263
Europe and Central Asia (WB),,2015,469530
Europe and Central Asia (WB),,2019,513874
Latin America and Caribbean (WB),,1986,2096494
Latin America and Caribbean (WB),,1990,2292576
Latin America and Caribbean (WB),,1995,2418376
Latin America and Caribbean (WB),,2000,1010446
Latin America and Caribbean (WB),,2005,740519
Latin America and Caribbean (WB),,2010,687734
Latin America and Caribbean (WB),,2015,838608
Latin America and Caribbean (WB),,2019,705753
Middle East and North Africa (WB),,1986,4814078
Middle East and North Africa (WB),,1990,4419425
Middle East and North Africa (WB),,1995,5036620
Middle East and North Africa (WB),,2000,3919689
Middle East and North Africa (WB),,2005,2477515
Middle East and North Africa (WB),,2010,1472952
Middle East and North Africa (WB),,2015,1558136
Middle East and North Africa (WB),,2019,1534877
North America (WB),,1986,597302
North America (WB),,1990,128055
North America (WB),,1995,364377
North America (WB),,2000,293194
North America (WB),,2005,70138
North America (WB),,2010,191688
North America (WB),,2015,236738
North America (WB),,2019,105462
South Asia (WB),,1986,26431212
South Asia (WB),,1990,25905728
South Asia (WB),,1995,23586600
South Asia (WB),,2000,21876152
South Asia (WB),,2005,10816387
South Asia (WB),,2010,7444188
South Asia (WB),,2015,8713451
South Asia (WB),,2019,7920938
Sub-Saharan Africa (WB),,1986,18399126
Sub-Saharan Africa (WB),,1990,21705100
Sub-Saharan Africa (WB),,1995,23870316
Sub-Saharan Africa (WB),,2000,23382376
Sub-Saharan Africa (WB),,2005,19506476
Sub-Saharan Africa (WB),,2010,18062644
Sub-Saharan Africa (WB),,2015,18684074
Sub-Saharan Africa (WB),,2019,19807892
