Entity,Code,Year,"Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages",Continent,"Deaths that are from all causes attributed to ambient particulate matter pollution, in both sexes aged all ages.1",Year.1
Afghanistan,AFG,1990,2782.4385,,8678.681,2019.0
Afghanistan,AFG,2019,8678.681,,8678.681,2019.0
Albania,ALB,1990,937.6756,,1532.4431,2019.0
Albania,ALB,2019,1532.4431,,1532.4431,2019.0
Algeria,DZA,1990,10969.518,,21613.342,2019.0
Algeria,DZA,2019,21613.342,,21613.342,2019.0
American Samoa,ASM,1990,4.4293456,,7.75195,2019.0
American Samoa,ASM,2019,7.75195,,7.75195,2019.0
Andorra,AND,1990,9.260873,,10.562062,2019.0
Andorra,AND,2019,10.562062,,10.562062,2019.0
Angola,AGO,1990,1233.4043,,5562.7783,2019.0
Angola,AGO,2019,5562.7783,,5562.7783,2019.0
Antigua and Barbuda,ATG,1990,23.275892,,29.99714,2019.0
Antigua and Barbuda,ATG,2019,29.99714,,29.99714,2019.0
Armenia,ARM,1990,2154.8362,,3090.598,2019.0
Armenia,ARM,2019,3090.598,,3090.598,2019.0
Austria,AUT,1990,5217.465,,2389.1748,2019.0
Austria,AUT,2019,2389.1748,,2389.1748,2019.0
Bahamas,BHS,1990,59.94961,,99.2175,2019.0
Bahamas,BHS,2019,99.2175,,99.2175,2019.0
Bahrain,BHR,1990,289.8851,,623.6666,2019.0
Bahrain,BHR,2019,623.6666,,623.6666,2019.0
Bangladesh,BGD,1990,20645.68,,73975.98,2019.0
Bangladesh,BGD,2019,73975.98,,73975.98,2019.0
Barbados,BRB,1990,150.8531,,174.88213,2019.0
Barbados,BRB,2019,174.88213,,174.88213,2019.0
Belarus,BLR,1990,10528.003,,8402.853,2019.0
Belarus,BLR,2019,8402.853,,8402.853,2019.0
Bermuda,BMU,1990,15.090472,,7.9284644,2019.0
Bermuda,BMU,2019,7.9284644,,7.9284644,2019.0
Cape Verde,CPV,1990,62.301247,,318.50287,2019.0
Cape Verde,CPV,2019,318.50287,,318.50287,2019.0
China,CHN,1990,520213.7,,1423632.6,2019.0
China,CHN,2019,1423632.6,,1423632.6,2019.0
Congo,COG,1990,526.2127,,1803.0613,2019.0
Congo,COG,2019,1803.0613,,1803.0613,2019.0
Cook Islands,COK,1990,2.274092,,3.0508826,2019.0
Cook Islands,COK,2019,3.0508826,,3.0508826,2019.0
Cuba,CUB,1990,4642.3413,,5844.5195,2019.0
Cuba,CUB,2019,5844.5195,,5844.5195,2019.0
Democratic Republic of Congo,COD,1990,5473.6616,,11059.886,2019.0
Democratic Republic of Congo,COD,2019,11059.886,,11059.886,2019.0
Dominican Republic,DOM,1990,698.2748,,3798.1353,2019.0
Dominican Republic,DOM,2019,3798.1353,,3798.1353,2019.0
Egypt,EGY,1990,57517.11,,90559.195,2019.0
Egypt,EGY,2019,90559.195,,90559.195,2019.0
Estonia,EST,1990,706.47815,,159.55215,2019.0
Estonia,EST,2019,159.55215,,159.55215,2019.0
Finland,FIN,1990,1345.0521,,385.08203,2019.0
Finland,FIN,2019,385.08203,,385.08203,2019.0
France,FRA,1990,22879.604,,13245.494,2019.0
France,FRA,2019,13245.494,,13245.494,2019.0
Germany,DEU,1990,63251.09,,27040.516,2019.0
Germany,DEU,2019,27040.516,,27040.516,2019.0
Iran,IRN,1990,24521.828,,41742.297,2019.0
Iran,IRN,2019,41742.297,,41742.297,2019.0
Latvia,LVA,1990,2648.311,,1118.7373,2019.0
Latvia,LVA,2019,1118.7373,,1118.7373,2019.0
Micronesia (country),FSM,1990,13.572318,,32.09394,2019.0
Micronesia (country),FSM,2019,32.09394,,32.09394,2019.0
Nauru,NRU,1990,1.2854284,,1.2442883,2019.0
Nauru,NRU,2019,1.2442883,,1.2442883,2019.0
Niue,NIU,1990,0.47968015,,0.4605621,2019.0
Niue,NIU,2019,0.4605621,,0.4605621,2019.0
Qatar,QAT,1990,173.92645,,539.28107,2019.0
Qatar,QAT,2019,539.28107,,539.28107,2019.0
Russia,RUS,1990,118991.17,,73859.35,2019.0
Russia,RUS,2019,73859.35,,73859.35,2019.0
