Entity,Code,Year,Number of patents in solar photovoltaic technology,Number of patents in solar thermal technology,Number of patents in solar photovoltaic and thermal hybrid technology,Number of patents in wind energy,Number of patents in hydropower,Number of patents in marine and tidal energy,Number of patents in bioenergy,Number of patents in geothermal energy
World,OWID_WRL,2000,3261.0,1954.0,552.0,1788.0,691.0,288.0,2287.0,128.0
World,OWID_WRL,2001,3373.0,2030.0,596.0,2280.0,616.0,299.0,2393.0,175.0
World,OWID_WRL,2002,3281.0,2309.0,547.0,2923.0,737.0,312.0,2601.0,223.0
World,OWID_WRL,2003,3646.0,2225.0,725.0,3064.0,833.0,346.0,2720.0,225.0
World,OWID_WRL,2004,4394.0,2599.0,622.0,3188.0,924.0,545.0,2909.0,233.0
World,OWID_WRL,2005,5200.0,2876.0,795.0,3708.0,1040.0,647.0,3362.0,281.0
World,OWID_WRL,2006,6428.0,4068.0,1008.0,4146.0,1144.0,810.0,4691.0,379.0
World,OWID_WRL,2007,9029.0,5036.0,1291.0,5792.0,1465.0,1072.0,6212.0,513.0
World,OWID_WRL,2008,13097.0,7160.0,1621.0,7878.0,2009.0,1405.0,7302.0,561.0
World,OWID_WRL,2009,19532.0,9485.0,2101.0,10842.0,2477.0,1775.0,8132.0,818.0
World,OWID_WRL,2010,24956.0,11172.0,2615.0,12068.0,2477.0,1813.0,8863.0,699.0
World,OWID_WRL,2011,27579.0,11021.0,2631.0,13045.0,2898.0,1817.0,9588.0,775.0
World,OWID_WRL,2012,27117.0,10805.0,2625.0,12919.0,2892.0,1795.0,9676.0,800.0
World,OWID_WRL,2013,24188.0,9563.0,2515.0,10831.0,2645.0,1698.0,9050.0,761.0
World,OWID_WRL,2014,24905.0,8084.0,2904.0,10630.0,2679.0,1762.0,9240.0,728.0
World,OWID_WRL,2015,26489.0,8228.0,3219.0,10176.0,2765.0,1566.0,9348.0,712.0
World,OWID_WRL,2016,30704.0,8633.0,3868.0,11648.0,2781.0,1612.0,9724.0,1048.0
World,OWID_WRL,2017,34546.0,8389.0,3106.0,14003.0,3011.0,1608.0,8605.0,1131.0
World,OWID_WRL,2018,36871.0,8224.0,2088.0,13912.0,2816.0,1445.0,7373.0,1058.0
World,OWID_WRL,2019,31763.0,9185.0,1903.0,12273.0,3330.0,1322.0,6616.0,1296.0
World,OWID_WRL,2020,31563.0,10734.0,1671.0,12600.0,4908.0,1313.0,4740.0,1175.0
World,OWID_WRL,2021,9284.0,2583.0,526.0,4454.0,993.0,474.0,1455.0,241.0
