Entity,Code,Year,"Number of one-year-olds not vaccinated with pneumococcal conjugate vaccine, 3rd dose"
Iceland,ISL,2012,655
Iceland,ISL,2014,446
Iceland,ISL,2016,425
Iceland,ISL,2018,412
Iceland,ISL,2020,308
Iceland,ISL,2021,362
Kenya,KEN,2012,249851
Kenya,KEN,2014,259603
Kenya,KEN,2016,299600
Kenya,KEN,2018,110623
Kenya,KEN,2020,138236
Kenya,KEN,2021,111454
Morocco,MAR,2010,652645
Morocco,MAR,2012,191230
Morocco,MAR,2014,69582
Morocco,MAR,2016,13805
Morocco,MAR,2018,6714
Morocco,MAR,2020,13178
Morocco,MAR,2021,12996
