Entity,Code,Year,The totalpopulation using at least basic drinking water services
Brazil,BRA,2000,164391860.0
Brazil,BRA,2005,177614620.0
Brazil,BRA,2010,189518020.0
Brazil,BRA,2015,200681390.0
Brazil,BRA,2020,211748400.0
Brazil,BRA,2022,214438830.0
China,CHN,2000,1014846660.0
China,CHN,2005,1112808800.0
China,CHN,2010,1216512000.0
China,CHN,2015,1313860000.0
China,CHN,2020,1389212200.0
China,CHN,2022,1415666300.0
India,IND,2000,846427650.0
India,IND,2005,958774850.0
India,IND,2010,1068799500.0
India,IND,2015,1179855500.0
India,IND,2020,1286709400.0
India,IND,2022,1322209700.0
World,OWID_WRL,2000,4990771700.0
World,OWID_WRL,2005,5486219000.0
World,OWID_WRL,2010,6011895300.0
World,OWID_WRL,2015,6562110000.0
World,OWID_WRL,2020,7086726000.0
World,OWID_WRL,2022,7271745000.0
