Entity,Code,Year,Annual CO₂ emissions from oil (per capita)
Bonaire Sint Eustatius and Saba,BES,1960,16.20704
Bonaire Sint Eustatius and Saba,BES,1980,10.208766
Bonaire Sint Eustatius and Saba,BES,2000,4.782966
Bonaire Sint Eustatius and Saba,BES,2022,4.083284
Bulgaria,BGR,1900,0.0
Bulgaria,BGR,1920,0.0
Bulgaria,BGR,1940,0.0
Bulgaria,BGR,1960,0.36219916
Bulgaria,BGR,1980,3.4445004
Bulgaria,BGR,2000,1.3069701
Bulgaria,BGR,2022,2.0677505
Burundi,BDI,1960,0.013263877
Burundi,BDI,1980,0.032324594
Burundi,BDI,2000,0.041838937
Burundi,BDI,2022,0.059426747
Cape Verde,CPV,1960,0.08729795
Cape Verde,CPV,1980,0.3811265
Cape Verde,CPV,2000,0.64763516
Cape Verde,CPV,2022,0.9588915
Laos,LAO,1960,0.037977193
Laos,LAO,1980,0.056668043
Laos,LAO,2000,0.1625937
Laos,LAO,2022,0.44832915
Lesotho,LSO,2000,0.1906584
Lesotho,LSO,2022,0.29164645
Senegal,SEN,1960,0.22723827
Senegal,SEN,1980,0.55308104
Senegal,SEN,2000,0.34622705
Senegal,SEN,2022,0.42723233
Togo,TGO,1960,0.0399377
Togo,TGO,1980,0.20010465
Togo,TGO,2000,0.20192796
Togo,TGO,2022,0.16593793
Turkey,TUR,1865,0.0
Turkey,TUR,1880,0.0
Turkey,TUR,1900,0.0
Turkey,TUR,1920,0.0
Turkey,TUR,1940,0.0
Turkey,TUR,1960,0.16248348
Turkey,TUR,1980,1.0217699
Turkey,TUR,2000,1.288561
Turkey,TUR,2022,1.4617846
