Entity,Code,Year,Per capita electricity - kWh,"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2021,20.698534,1516.3057,
Africa,,2021,602.25586,,
Albania,ALB,2021,3138.6726,14518.906,
Algeria,DZA,2021,1754.9473,11039.806,
Angola,AGO,2021,476.17978,5908.57,
Antigua and Barbuda,ATG,2021,3754.1968,19124.43,
Aruba,ABW,2021,8728.87,38866.332,
Asia,,2021,3310.388,,
Australia,AUS,2021,10317.852,49774.34,
Austria,AUT,2021,7503.85,54121.145,
Bahamas,BHS,2021,5197.097,30210.162,
Bahrain,BHR,2021,21704.871,49387.418,
Belarus,BLR,2021,4579.162,19751.203,
Belgium,BEL,2021,8528.676,51739.54,
Belize,BLZ,2021,1599.852,8762.623,
Benin,BEN,2021,18.46594,3321.5522,
Bermuda,BMU,2021,0.0,80271.13,
Bhutan,BTN,2021,11575.5625,10907.856,
Botswana,BWA,2021,846.0747,14840.913,
Bulgaria,BGR,2021,6869.145,24398.13,
Burundi,BDI,2021,28.682482,705.0304,
Canada,CAN,2021,16405.445,47892.945,
China,CHN,2021,5985.2017,17602.695,
Costa Rica,CRI,2021,2466.0654,21199.281,
Cyprus,CYP,2021,4115.117,41701.703,
Denmark,DNK,2021,5647.1836,57962.652,
Eswatini,SWZ,2021,620.6632,8856.829,
Ethiopia,ETH,2021,122.128624,2319.0684,
Europe,,2021,6457.992,,
Finland,FIN,2021,12982.341,48753.355,
Guyana,GUY,2021,1528.765,21925.188,
High-income countries,,2021,9354.007,50122.207,
Hong Kong,HKG,2021,4703.399,59978.15,
Iran,IRN,2021,3927.6218,15004.6875,
Ireland,IRL,2021,6335.073,102496.22,
Kuwait,KWT,2021,16754.857,,
Kyrgyzstan,KGZ,2021,2215.1611,4814.9565,
Laos,LAO,2021,5383.125,7846.975,
Lithuania,LTU,2021,1496.4194,39305.613,
Luxembourg,LUX,2021,1923.889,115683.49,
Macao,MAC,2021,859.2867,64796.996,
Niger,NER,2021,17.81986,1186.5768,
North America,,2021,8802.8545,,
Oceania,,2021,7270.0605,,
Qatar,QAT,2021,17673.28,92862.35,
South America,,2021,2824.6362,,
South Korea,KOR,2021,11354.784,44232.207,
Switzerland,CHE,2021,7260.0425,71032.84,
Zambia,ZMB,2021,909.4581,3236.789,
