Entity,Code,Year,Fossil fuel electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-fossil-nuclear-renewables),Nuclear electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-fossil-nuclear-renewables),Renewable electricity per capita - kWh (adapted for visualization of chart per-capita-electricity-fossil-nuclear-renewables)
East Timor,TLS,2021,401.22818,0.0,0.0
Grenada,GRD,2021,1685.0687,0.0,0.0
Japan,JPN,2021,5958.47,491.28287,1733.2928
Japan,JPN,2022,6089.8726,417.6627,1830.7938
Laos,LAO,2021,1454.5347,0.0,3928.5903
Madagascar,MDG,2021,47.379185,0.0,24.90001
Oman,OMN,2021,8052.253,0.0,35.39452
Oman,OMN,2022,8069.838,0.0,34.96274
Palestine,PSE,2021,128.56993,0.0,38.960587
Peru,PER,2021,680.10333,0.0,1044.3279
Peru,PER,2022,795.0169,0.0,975.0485
Saudi Arabia,SAU,2021,10906.695,0.0,23.365528
Saudi Arabia,SAU,2022,11006.946,0.0,23.071331
Turkey,TUR,2021,2534.4614,0.0,1398.4009
Turkey,TUR,2022,2217.216,0.0,1604.0309
Turks and Caicos Islands,TCA,2021,5981.259,0.0,0.0
Zimbabwe,ZWE,2021,225.71634,0.0,276.36185
