Entity,Code,Year,Per capita electricity - kWh
Australia,AUS,1985,7834.503
Australia,AUS,1990,9130.308
Australia,AUS,1995,9733.071
Australia,AUS,2000,11401.323
Australia,AUS,2005,11438.78
Australia,AUS,2010,11397.798
Australia,AUS,2015,10662.781
Australia,AUS,2020,10331.884
Australia,AUS,2022,10449.849
Brazil,BRA,1985,1415.98
Brazil,BRA,1990,1478.5042
Brazil,BRA,1995,1685.4777
Brazil,BRA,2000,1947.875
Brazil,BRA,2005,2118.4456
Brazil,BRA,2010,2601.3289
Brazil,BRA,2015,2785.5889
Brazil,BRA,2020,2881.6633
Brazil,BRA,2022,3162.319
China,CHN,1985,387.35568
China,CHN,1990,538.4396
China,CHN,1995,826.69183
China,CHN,2000,1072.3843
China,CHN,2005,1916.0731
China,CHN,2010,3120.5957
China,CHN,2015,4171.9995
China,CHN,2020,5459.265
China,CHN,2022,6205.771
France,FRA,1985,6250.7217
France,FRA,1990,7395.472
France,FRA,1995,8554.458
France,FRA,2000,9095.642
France,FRA,2005,9417.604
France,FRA,2010,9013.274
France,FRA,2015,8994.234
France,FRA,2020,8176.9473
France,FRA,2022,7282.912
India,IND,1985,238.88203
India,IND,1990,330.59003
India,IND,1995,442.97214
India,IND,2000,539.2336
India,IND,2005,610.16486
India,IND,2010,755.65027
India,IND,2015,999.4205
India,IND,2020,1132.8807
India,IND,2022,1311.0465
South Africa,ZAF,1985,4251.2114
South Africa,ZAF,1990,4193.4854
South Africa,ZAF,1995,4243.501
South Africa,ZAF,2000,4196.8867
South Africa,ZAF,2005,4676.3223
South Africa,ZAF,2010,4692.292
South Africa,ZAF,2015,4151.1187
South Africa,ZAF,2020,3774.7063
South Africa,ZAF,2022,3566.4744
United Kingdom,GBR,1985,5262.588
United Kingdom,GBR,1990,5554.231
United Kingdom,GBR,1995,5739.3047
United Kingdom,GBR,2000,6407.132
United Kingdom,GBR,2005,6596.9746
United Kingdom,GBR,2010,6087.631
United Kingdom,GBR,2015,5195.451
United Kingdom,GBR,2020,4652.8843
United Kingdom,GBR,2022,4830.323
United States,USA,1985,11299.992
United States,USA,1990,13031.002
United States,USA,1995,13428.155
United States,USA,2000,13463.596
United States,USA,2005,13593.026
United States,USA,2010,13220.33
United States,USA,2015,12581.307
United States,USA,2020,12035.351
United States,USA,2022,12672.299
