Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Angola,AGO,1980,2053.46
Angola,AGO,1990,1972.4146
Angola,AGO,2000,1979.2562
Angola,AGO,2010,3560.0942
Iran,IRN,1965,3944.148
Iran,IRN,1970,5836.307
Iran,IRN,1980,10541.231
Iran,IRN,1990,14540.782
Iran,IRN,2000,21307.21
Iran,IRN,2010,32127.781
Iran,IRN,2022,38133.086
Jordan,JOR,1980,10288.259
Jordan,JOR,1990,12111.728
Jordan,JOR,2000,13120.57
Jordan,JOR,2010,12875.821
Saint Pierre and Miquelon,SPM,1980,101853.95
Saint Pierre and Miquelon,SPM,1990,159376.4
Saint Pierre and Miquelon,SPM,2000,44661.23
Saint Pierre and Miquelon,SPM,2010,61996.32
USSR,OWID_USS,1965,30031.508
USSR,OWID_USS,1970,36333.86
USSR,OWID_USS,1980,50740.555
USSR,OWID_USS,1990,63628.277
United States,USA,1965,76117.3
United States,USA,1970,90880.0
United States,USA,1980,92999.71
United States,USA,1990,91124.93
United States,USA,2000,93999.86
United States,USA,2010,83397.48
United States,USA,2022,78754.27
