Entity,Code,Year,Primary energy consumption per capita (kWh/person)
Canada,CAN,1965,70549.53
Canada,CAN,1970,87175.18
Canada,CAN,1980,110629.38
Canada,CAN,1990,108781.125
Canada,CAN,2000,118875.336
Canada,CAN,2010,110485.93
Canada,CAN,2022,102160.29
China,CHN,1965,2122.2656
China,CHN,1970,2871.2454
China,CHN,1980,4914.158
China,CHN,1990,6880.6626
China,CHN,2000,9334.936
China,CHN,2010,21551.547
China,CHN,2022,31051.48
France,FRA,1965,27188.887
France,FRA,1970,35690.594
France,FRA,1980,42953.19
France,FRA,1990,47114.285
France,FRA,2000,52966.594
France,FRA,2010,48006.33
France,FRA,2022,36051.793
India,IND,1965,1238.6198
India,IND,1970,1369.9354
India,IND,1980,1748.7792
India,IND,1990,2643.1104
India,IND,2000,3518.6821
India,IND,2010,5033.775
India,IND,2022,7143.4062
United Kingdom,GBR,1965,42711.473
United Kingdom,GBR,1970,45840.71
United Kingdom,GBR,1980,42273.758
United Kingdom,GBR,1990,43845.027
United Kingdom,GBR,2000,45275.645
United Kingdom,GBR,2010,39540.008
United Kingdom,GBR,2022,30097.885
United States,USA,1965,76117.3
United States,USA,1970,90880.0
United States,USA,1980,92999.71
United States,USA,1990,91124.93
United States,USA,2000,93999.86
United States,USA,2010,83397.48
United States,USA,2022,78754.27
