Entity,Code,Year,Total greenhouse gas emissions per capita excluding land-use change and forestry,Total carbon dioxide emissions per capita excluding land-use change and forestry,Continent
Afghanistan,AFG,2020,0.79851717,0.22349244,
Africa,,2020,2.2273831,0.93637913,
Albania,ALB,2020,2.8951638,1.5278093,
Algeria,DZA,2020,6.1378546,3.7181542,
Antigua and Barbuda,ATG,2020,12.948895,5.0716505,
Argentina,ARG,2020,8.025352,3.4314747,
Asia,,2020,5.4613976,4.1985173,
Australia,AUS,2020,22.278881,14.764286,
Austria,AUT,2020,7.972806,6.63914,
Bahrain,BHR,2020,36.65029,21.97664,
Brunei,BRN,2020,26.961805,21.709799,
Canada,CAN,2020,17.886862,13.641796,
Chad,TCD,2020,5.3806896,0.09432428,
Czechia,CZE,2020,10.284921,8.436085,
Europe,,2020,8.536613,6.388467,
Grenada,GRD,2020,19.406172,2.5874896,
Kazakhstan,KAZ,2020,15.533278,11.1648245,
Kuwait,KWT,2020,31.1665,21.169828,
Mongolia,MNG,2020,16.367466,6.4292088,
North America,,2020,11.819359,9.0054035,
Oceania,,2020,15.36973,9.516601,
Qatar,QAT,2020,43.330833,31.727402,
Saudi Arabia,SAU,2020,19.795757,14.266702,
South America,,2020,5.1528497,2.1410556,
Turkmenistan,TKM,2020,31.052204,10.184879,
Uruguay,URY,2020,10.495505,1.8984646,
