Entity,Code,Year,Per-capita greenhouse gas emissions in CO₂ equivalents
Argentina,ARG,1850,31.879192
Argentina,ARG,1860,35.68201
Argentina,ARG,1880,31.802544
Argentina,ARG,1900,29.921583
Argentina,ARG,1920,26.378794
Argentina,ARG,1940,14.705922
Argentina,ARG,1960,10.3393135
Argentina,ARG,1980,10.19708
Argentina,ARG,2000,10.395762
Argentina,ARG,2021,8.273893
Morocco,MAR,1850,1.7276046
Morocco,MAR,1860,1.6774346
Morocco,MAR,1880,1.5689236
Morocco,MAR,1900,1.7176397
Morocco,MAR,1920,3.0470011
Morocco,MAR,1940,2.6029387
Morocco,MAR,1960,2.3362617
Morocco,MAR,1980,2.470323
Morocco,MAR,2000,2.1550086
Morocco,MAR,2021,2.9792855
Taiwan,TWN,1850,0.679096
Taiwan,TWN,1860,0.6413728
Taiwan,TWN,1880,0.64181465
Taiwan,TWN,1900,1.1076587
Taiwan,TWN,1920,2.053309
Taiwan,TWN,1940,2.7026212
Taiwan,TWN,1960,5.129793
Taiwan,TWN,1980,5.623902
Taiwan,TWN,2000,11.182932
Taiwan,TWN,2021,12.904841
Tonga,TON,1850,3.6251595
Tonga,TON,1860,3.5892055
Tonga,TON,1880,3.5170577
Tonga,TON,1900,3.9477305
Tonga,TON,1920,4.1037745
Tonga,TON,1940,3.7103293
Tonga,TON,1960,3.961441
Tonga,TON,1980,2.2853918
Tonga,TON,2000,1.7494513
Tonga,TON,2021,3.1021245
