Entity,Code,Year,Hydro per capita (kWh - equivalent)
Belarus,BLR,1990,5.670956
Belarus,BLR,2000,7.784205
Belarus,BLR,2010,12.834821
Belarus,BLR,2022,93.78619
High-income countries,,1965,2599.3281
High-income countries,,1970,2945.5679
High-income countries,,1980,3459.145
High-income countries,,1990,3477.1655
High-income countries,,2000,3652.543
High-income countries,,2010,3131.907
High-income countries,,2022,2676.451
Kazakhstan,KAZ,1990,1291.3815
Kazakhstan,KAZ,2000,1461.5948
Kazakhstan,KAZ,2010,1339.065
Kazakhstan,KAZ,2022,1237.3716
Netherlands,NLD,1965,0.0
Netherlands,NLD,1970,0.0
Netherlands,NLD,1980,0.0
Netherlands,NLD,1990,16.81845
Netherlands,NLD,2000,26.482845
Netherlands,NLD,2010,17.39914
Netherlands,NLD,2022,7.433868
Turkey,TUR,1965,205.36652
Turkey,TUR,1970,252.32716
Turkey,TUR,1980,761.1071
Turkey,TUR,1990,1259.9777
Turkey,TUR,2000,1424.1514
Turkey,TUR,2010,1964.0916
Turkey,TUR,2022,2052.8025
USSR,OWID_USS,1965,1045.4968
USSR,OWID_USS,1970,1516.8043
USSR,OWID_USS,1980,2051.6418
United Kingdom,GBR,1965,251.47968
United Kingdom,GBR,1970,241.02182
United Kingdom,GBR,1980,207.57497
United Kingdom,GBR,1990,264.4885
United Kingdom,GBR,2000,255.53922
United Kingdom,GBR,2010,158.82948
United Kingdom,GBR,2022,205.28757
Venezuela,VEN,1965,417.84247
Venezuela,VEN,1970,1068.6902
Venezuela,VEN,1980,2835.7888
Venezuela,VEN,1990,5536.968
Venezuela,VEN,2000,7612.3823
Venezuela,VEN,2010,7409.893
Venezuela,VEN,2022,6137.7686
