Entity,Code,Year,Hydro per capita (kWh - equivalent)
Argentina,ARG,1965,164.26549
Argentina,ARG,1970,193.11523
Argentina,ARG,1980,1597.5638
Argentina,ARG,1990,1604.8231
Argentina,ARG,2000,2279.334
Argentina,ARG,2010,2252.8657
Argentina,ARG,2022,1368.5503
Brazil,BRA,1965,891.5651
Brazil,BRA,1970,1221.2438
Brazil,BRA,1980,3117.0303
Brazil,BRA,1990,4055.787
Brazil,BRA,2000,5117.9746
Brazil,BRA,2010,5700.7524
Brazil,BRA,2022,5171.7266
Canada,CAN,1965,17735.2
Canada,CAN,1970,21815.654
Canada,CAN,1980,30297.678
Canada,CAN,1990,31613.184
Canada,CAN,2000,34381.41
Canada,CAN,2010,28716.08
Canada,CAN,2022,27013.396
Chile,CHL,1965,1299.8345
Chile,CHL,1970,1296.856
Chile,CHL,1980,2029.1907
Chile,CHL,1990,1981.5597
Chile,CHL,2000,3675.2888
Chile,CHL,2010,3551.7844
Chile,CHL,2022,2958.7788
China,CHN,1965,90.26859
China,CHN,1970,86.41278
China,CHN,1980,175.2486
China,CHN,1990,324.84976
China,CHN,2000,520.263
China,CHN,2010,1464.5547
China,CHN,2022,2382.6736
France,FRA,1965,2877.9392
France,FRA,1970,3317.3918
France,FRA,1980,3827.5024
France,FRA,1990,2823.4888
France,FRA,2000,3344.9783
France,FRA,2010,2787.5547
France,FRA,2022,1798.6763
Sweden,SWE,1965,17699.406
Sweden,SWE,1970,15282.398
Sweden,SWE,1980,20942.86
Sweden,SWE,1990,25081.672
Sweden,SWE,2000,26194.445
Sweden,SWE,2010,19873.898
Sweden,SWE,2022,17240.004
United Kingdom,GBR,1965,251.47968
United Kingdom,GBR,1970,241.02182
United Kingdom,GBR,1980,207.57497
United Kingdom,GBR,1990,264.4885
United Kingdom,GBR,2000,255.53922
United Kingdom,GBR,2010,158.82948
United Kingdom,GBR,2022,205.28757
