Entity,Code,Year,Renewables per capita (kWh - equivalent)
Brazil,BRA,1965,891.5651
Brazil,BRA,1970,1275.7004
Brazil,BRA,1980,3323.2979
Brazil,BRA,1990,4627.2334
Brazil,BRA,2000,5687.5312
Brazil,BRA,2010,7114.253
Brazil,BRA,2022,8431.066
Iceland,ISL,1965,9850.891
Iceland,ISL,1970,20599.457
Iceland,ISL,1980,40105.12
Iceland,ISL,1990,51309.305
Iceland,ISL,2000,80049.31
Iceland,ISL,2010,147146.22
Iceland,ISL,2022,139521.33
Kuwait,KWT,1965,0.0
Kuwait,KWT,1970,0.0
Kuwait,KWT,1980,0.0
Kuwait,KWT,1990,0.0
North America,,1965,3494.1838
North America,,1970,4194.971
North America,,1980,4713.0586
North America,,1990,4902.489
North America,,2000,4711.0938
North America,,2010,4971.4116
North America,,2022,7426.0054
Saudi Arabia,SAU,1965,0.0
Saudi Arabia,SAU,1970,0.0
Saudi Arabia,SAU,1980,0.0
Saudi Arabia,SAU,1990,0.0
Trinidad and Tobago,TTO,2010,8.675301
Trinidad and Tobago,TTO,2022,9.479326
United States,USA,1965,3325.4656
United States,USA,1970,3999.4497
United States,USA,1980,4109.863
United States,USA,1990,4305.358
United States,USA,2000,3785.711
United States,USA,2010,4870.8745
United States,USA,2022,8912.268
Uzbekistan,UZB,1990,955.24384
Uzbekistan,UZB,2000,697.4424
Uzbekistan,UZB,2010,794.6332
Uzbekistan,UZB,2022,413.9641
