Entity,Code,Year,"4.c.1 - Proportion of teachers with the minimum required qualifications, by education level and sex (%) - SE_TRA_GRDL - Primary - Both sexes"
Bangladesh,BGD,2006,51.43
Bangladesh,BGD,2008,54.36
Bangladesh,BGD,2016,50.43
Kazakhstan,KAZ,2014,100.0
Kazakhstan,KAZ,2016,100.0
Kazakhstan,KAZ,2018,100.0
Kazakhstan,KAZ,2020,100.0
Northern Africa (UN),,2004,97.68
Northern Africa (UN),,2006,97.24
Northern Africa (UN),,2012,83.21
Northern Africa (UN),,2014,85.63
Northern Africa (UN),,2016,85.79
Northern Africa (UN),,2018,88.89
Northern Africa (UN),,2020,86.45
