Entity,Code,Year,Prevalence of forced sex among girls
Afghanistan,AFG,2005,1.0
Cambodia,KHM,2005,2.0
Cameroon,CMR,2005,16.0
Chad,TCD,2005,2.0
Colombia,COL,2005,2.0
Democratic Republic of the Congo,,2005,13.0
Ethiopia,ETH,2005,5.0
Ghana,GHA,2005,10.0
Haiti,HTI,2005,4.0
Kenya,KEN,2005,4.0
Malawi,MWI,2005,4.0
Mozambique,MOZ,2005,8.0
Myanmar,MMR,2005,1.0
Nepal,NPL,2005,1.0
Nigeria,NGA,2005,4.0
Rwanda,RWA,2005,10.0
Sierra Leone,SLE,2005,2.0
Tajikistan,TJK,2005,0.3
Tanzania,TZA,2005,7.0
Uganda,UGA,2005,8.0
Zambia,ZMB,2005,6.0
Zimbabwe,ZWE,2005,6.0
