Entity,Code,Year,Incinerated - projections,Mismanaged,Landfilled,Recycled,Incinerated,Mismanaged  - projections,Landfilled  - projections,Recycled  - projections
Americas (excl. USA),,2020,481600.0,,,,,11047721.0,22953504.0,3744013.0
Americas (excl. USA),,2030,1137929.0,,,,,11963618.0,28109196.0,5624526.0
Americas (excl. USA),,2040,2117600.0,,,,,12804489.0,34680400.0,8053323.0
Americas (excl. USA),,2050,3527542.0,,,,,13342129.0,42502996.0,11004940.0
Americas (excl. USA),,2060,5464772.0,,,,,13650368.0,50949228.0,14474149.0
Americas (excl. USA),,2000,,5291803.0,10031376.0,772024.0,199475.0,,,
Americas (excl. USA),,2010,,8665047.0,16541807.0,2004698.0,306754.0,,,
Asia (excl. China and India),,2020,10103514.0,,,,,19005260.0,22381226.0,4797100.0
Asia (excl. China and India),,2030,12960388.0,,,,,21810664.0,30120396.0,7687659.0
Asia (excl. China and India),,2040,17058720.0,,,,,25084364.0,41399410.0,12163585.0
Asia (excl. China and India),,2050,22783816.0,,,,,29217924.0,57537850.0,18416908.0
Asia (excl. China and India),,2060,30107894.0,,,,,32698016.0,76808050.0,26322548.0
Asia (excl. China and India),,2000,,6338147.0,8466868.0,663476.0,1810280.0,,,
Asia (excl. China and India),,2010,,12033065.0,14384247.0,2117467.0,5160127.0,,,
India,IND,2020,840271.0,,,,,8850332.0,7235357.0,2649072.0
India,IND,2030,1976290.0,,,,,12585343.0,14652165.0,5426032.0
India,IND,2040,4384433.0,,,,,17727516.0,27452670.0,10215344.0
India,IND,2050,8699169.0,,,,,22894322.0,45599740.0,16064093.0
India,IND,2060,15061957.0,,,,,25976752.0,65490220.0,21555514.0
India,IND,2000,,2359011.0,876390.0,177113.0,58963.0,,,
India,IND,2010,,5035518.0,2759210.0,852490.0,264545.0,,,
Sub-Saharan Africa,,2020,113276.0,,,,,10425278.0,4989037.0,957977.0
Sub-Saharan Africa,,2030,567097.0,,,,,12856992.0,7050246.0,1533799.0
Sub-Saharan Africa,,2040,1551534.0,,,,,18172402.0,11937721.0,2765055.0
Sub-Saharan Africa,,2050,3692141.0,,,,,26633054.0,21441380.0,5034993.0
Sub-Saharan Africa,,2060,8048562.0,,,,,38483588.0,38375716.0,8930582.0
Sub-Saharan Africa,,2000,,3612815.0,1453495.0,158260.0,0.0,,,
Sub-Saharan Africa,,2010,,7190390.0,3172608.0,486237.0,0.0,,,
United States,USA,2020,13863507.0,,,,,2492386.0,52817990.0,3343834.0
United States,USA,2030,16602034.0,,,,,1731006.0,61625508.0,5233698.0
United States,USA,2040,19868972.0,,,,,804474.0,71632504.0,7709009.0
United States,USA,2050,23995284.0,,,,,959203.0,82507700.0,11063801.0
United States,USA,2060,29221202.0,,,,,1149850.0,95716984.0,15608453.0
United States,USA,2000,,3638777.0,34858036.0,1098544.0,7151613.0,,,
United States,USA,2010,,3442054.0,46075964.0,2164681.0,10865699.0,,,
World,OWID_WRL,2020,68044616.0,,,,,80636950.0,177008850.0,34292332.0
World,OWID_WRL,2030,86273180.0,,,,,93419250.0,231296770.0,56154156.0
World,OWID_WRL,2040,110163240.0,,,,,111062030.0,305596030.0,88279780.0
World,OWID_WRL,2050,139945420.0,,,,,131901060.0,397821300.0,128916420.0
World,OWID_WRL,2060,179090430.0,,,,,152582510.0,506527230.0,175943550.0
World,OWID_WRL,2000,,40188156.0,92773420.0,5783667.0,16980004.0,,,
World,OWID_WRL,2010,,63715770.0,134096890.0,16869304.0,39280410.0,,,
