Entity,Code,Year,Political rights
Cote d'Ivoire,CIV,1972,6
Cote d'Ivoire,CIV,1980,5
Cote d'Ivoire,CIV,1990,6
Cote d'Ivoire,CIV,2000,6
Cote d'Ivoire,CIV,2010,7
Cote d'Ivoire,CIV,2022,4
Grenada,GRD,1980,6
Grenada,GRD,1990,2
Grenada,GRD,2000,1
Grenada,GRD,2010,1
Grenada,GRD,2022,1
Romania,ROU,1972,7
Romania,ROU,1980,7
Romania,ROU,1990,6
Romania,ROU,2000,2
Romania,ROU,2010,2
Romania,ROU,2022,2
South Africa,ZAF,1972,5
South Africa,ZAF,1980,5
South Africa,ZAF,1990,5
South Africa,ZAF,2000,1
South Africa,ZAF,2010,2
South Africa,ZAF,2022,2
