Entity,Code,Year,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: estimates,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates
Brazil,BRA,2021,44024040,149767460,20534732
China,CHN,2021,251927890,986464100,187501470
India,IND,2021,361569250,950245570,95749030
Italy,ITA,2021,7494993,37717010,14028334
Japan,JPN,2021,14671836,72822250,37118444
Kenya,KEN,2021,20351588,31146670,1507360
Nigeria,NGA,2021,92372970,114665540,6362815
South Africa,ZAF,2021,17029518,38815756,3546982
South Korea,KOR,2021,6163823,37036200,8630114
United States,USA,2021,61478596,219311550,56207480
Zambia,ZMB,2021,8424535,10709970,338628
