Entity,Code,Year,Potatoes | 00000116 || Production | 005510 || tonnes
Brazil,BRA,1961,1080310.0
Brazil,BRA,1970,1583465.0
Brazil,BRA,1980,1939537.0
Brazil,BRA,1990,2233721.0
Brazil,BRA,2000,2606932.0
Brazil,BRA,2010,3547510.0
Brazil,BRA,2021,3853464.0
China,CHN,1961,12900000.0
China,CHN,1970,21500000.0
China,CHN,1980,25860000.0
China,CHN,1990,32000000.0
China,CHN,2000,66275000.0
China,CHN,2010,76531500.0
China,CHN,2021,94300000.0
India,IND,1961,2719000.0
India,IND,1970,3912600.0
India,IND,1980,8326600.0
India,IND,1990,14770800.0
India,IND,2000,25000100.0
India,IND,2010,36577300.0
India,IND,2021,54230000.0
Russia,RUS,2000,29464800.0
Russia,RUS,2010,21140540.0
Russia,RUS,2021,18295536.0
United States,USA,1961,13305000.0
United States,USA,1970,14774200.0
United States,USA,1980,13785000.0
United States,USA,1990,18239008.0
United States,USA,2000,23293964.0
United States,USA,2010,18350034.0
United States,USA,2021,18582370.0
