Entity,Code,Year,Poultry | 00002029 || Stocks | 005112 || animals
Laos,LAO,1961,5490000
Laos,LAO,1970,11247000
Laos,LAO,1980,4884000
Laos,LAO,1990,8301000
Laos,LAO,2000,14885000
Laos,LAO,2010,28405000
Laos,LAO,2021,53276000
Russia,RUS,2000,350131000
Russia,RUS,2010,429457000
Russia,RUS,2021,505057000
Sudan (former),,1961,10000000
Sudan (former),,1970,18500000
Sudan (former),,1980,27000000
Sudan (former),,1990,32263000
Sudan (former),,2000,36465000
Sudan (former),,2010,43316000
Taiwan,TWN,1961,13220000
Taiwan,TWN,1970,23045000
Taiwan,TWN,1980,51098000
Taiwan,TWN,1990,92564000
Taiwan,TWN,2000,136293000
Taiwan,TWN,2010,112357000
Taiwan,TWN,2021,109041000
