Entity,Code,Year,"PPP conversion factor, private consumption (LCU per international $)"
Australia,AUS,1990,1.385806
Australia,AUS,1995,1.377539
Australia,AUS,2000,1.384412
Australia,AUS,2005,1.46414
Australia,AUS,2010,1.554602
Australia,AUS,2015,1.54546
Australia,AUS,2021,1.571184
Germany,DEU,1990,0.955066
Germany,DEU,1995,0.976496
Germany,DEU,2000,0.942438
Germany,DEU,2005,0.907968
Germany,DEU,2010,0.852277
Germany,DEU,2015,0.832913
Germany,DEU,2021,0.780198
Namibia,NAM,2005,4.1074147
Namibia,NAM,2010,5.1517687
Namibia,NAM,2015,6.1585994
Namibia,NAM,2021,7.148907
South Africa,ZAF,1990,2.097876
South Africa,ZAF,1995,3.0688503
South Africa,ZAF,2000,3.7492695
South Africa,ZAF,2005,4.0983987
South Africa,ZAF,2010,4.9428883
South Africa,ZAF,2015,5.9971156
South Africa,ZAF,2021,6.9611526
