Entity,Code,Year,Prevalence of anemia among pregnant women (%)
Argentina,ARG,2000,26.4
Argentina,ARG,2005,25.0
Argentina,ARG,2010,22.4
Argentina,ARG,2015,20.9
Argentina,ARG,2019,20.6
Bolivia,BOL,2000,35.3
Bolivia,BOL,2005,36.3
Bolivia,BOL,2010,36.1
Bolivia,BOL,2015,35.4
Bolivia,BOL,2019,33.7
Malaysia,MYS,2000,37.1
Malaysia,MYS,2005,34.6
Malaysia,MYS,2010,32.1
Malaysia,MYS,2015,31.2
Malaysia,MYS,2019,31.0
Malta,MLT,2000,21.0
Malta,MLT,2005,19.4
Malta,MLT,2010,18.7
Malta,MLT,2015,18.6
Malta,MLT,2019,19.0
Netherlands,NLD,2000,16.2
Netherlands,NLD,2005,16.3
Netherlands,NLD,2010,15.9
Netherlands,NLD,2015,16.5
Netherlands,NLD,2019,17.2
North America (WB),,2000,9.88742
North America (WB),,2005,9.626731
North America (WB),,2010,10.391673
North America (WB),,2015,11.195927
North America (WB),,2019,11.902668
Serbia,SRB,2000,28.4
Serbia,SRB,2005,27.0
Serbia,SRB,2010,25.5
Serbia,SRB,2015,24.8
Serbia,SRB,2019,25.1
Upper-middle-income countries,,2000,29.308002
Upper-middle-income countries,,2005,26.271322
Upper-middle-income countries,,2010,22.915321
Upper-middle-income countries,,2015,21.629955
Upper-middle-income countries,,2019,21.384396
