Entity,Code,Year,Nuclear (TWh - equivalent)
Lower-middle-income countries,,1965,0.0
Lower-middle-income countries,,1970,3.7118735
Lower-middle-income countries,,1980,7.1729445
Lower-middle-income countries,,1990,235.4959
Lower-middle-income countries,,2000,266.88293
Lower-middle-income countries,,2010,305.6986
Lower-middle-income countries,,2022,343.02457
Myanmar,MMR,1970,0.0
Myanmar,MMR,1980,0.0
Myanmar,MMR,1990,0.0
Myanmar,MMR,2000,0.0
Myanmar,MMR,2010,0.0
Myanmar,MMR,2022,0.0
Netherlands,NLD,1965,0.0
Netherlands,NLD,1970,1.0442055
Netherlands,NLD,1980,11.9175625
Netherlands,NLD,1990,9.936976
Netherlands,NLD,2000,11.1208105
Netherlands,NLD,2010,10.571615
Netherlands,NLD,2022,10.402621
New Caledonia,NCL,2000,0.0
New Caledonia,NCL,2010,0.0
New Caledonia,NCL,2022,0.0
Nigeria,NGA,1965,0.0
Nigeria,NGA,1970,0.0
Nigeria,NGA,1980,0.0
Nigeria,NGA,1990,0.0
Nigeria,NGA,2000,0.0
Nigeria,NGA,2010,0.0
Nigeria,NGA,2022,0.0
United States,USA,1965,10.92204
United States,USA,1970,65.126785
United States,USA,1980,750.0465
United States,USA,1990,1723.0038
United States,USA,2000,2251.771
United States,USA,2010,2262.4282
United States,USA,2022,2031.8195
