Entity,Code,Year,"4.a.1 - Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - SE_ACS_INTNT - Primary"
Bermuda,BMU,2016,100.0
Costa Rica,CRI,2017,60.12
Costa Rica,CRI,2018,59.24
Costa Rica,CRI,2019,83.94
Costa Rica,CRI,2020,86.29
Cuba,CUB,2018,12.59
Cuba,CUB,2019,15.83
Cuba,CUB,2020,23.76
Cuba,CUB,2021,42.22
El Salvador,SLV,2016,27.38
El Salvador,SLV,2018,23.24
Guinea,GIN,2016,0.0
Jamaica,JAM,2016,84.4
Jamaica,JAM,2017,84.31
Jamaica,JAM,2019,78.83
Latin America and the Caribbean (UN),,2016,42.09
Latin America and the Caribbean (UN),,2017,42.71
Latin America and the Caribbean (UN),,2018,42.97
Macao,MAC,2016,100.0
Macao,MAC,2017,100.0
Macao,MAC,2018,100.0
Macao,MAC,2019,100.0
Macao,MAC,2020,100.0
Macao,MAC,2021,100.0
Micronesia (country),FSM,2019,28.28
Micronesia (country),FSM,2020,41.26
Micronesia (country),FSM,2021,41.96
Mongolia,MNG,2016,70.66
Morocco,MAR,2017,78.67
Morocco,MAR,2018,78.96
Morocco,MAR,2019,82.8
Morocco,MAR,2020,82.85
Morocco,MAR,2021,79.02
Netherlands,NLD,2016,100.0
Netherlands,NLD,2017,100.0
Netherlands,NLD,2018,100.0
Netherlands,NLD,2019,100.0
Panama,PAN,2019,46.2
Panama,PAN,2020,46.2
Panama,PAN,2021,46.58
Paraguay,PRY,2016,5.41
Small Island Developing States (SIDS),,2017,53.49
Sri Lanka,LKA,2018,15.85
Sri Lanka,LKA,2019,18.57
Tuvalu,TUV,2019,0.0
Tuvalu,TUV,2021,90.0
Uzbekistan,UZB,2017,90.7
Uzbekistan,UZB,2018,88.66
Uzbekistan,UZB,2019,86.52
Uzbekistan,UZB,2020,98.37
Uzbekistan,UZB,2021,96.15
Zimbabwe,ZWE,2016,14.44
Zimbabwe,ZWE,2017,17.23
Zimbabwe,ZWE,2018,20.05
Zimbabwe,ZWE,2019,24.21
Zimbabwe,ZWE,2020,22.55
