Entity,Code,Year,"4.a.1 - Proportion of schools with access to the internet for pedagogical purposes, by education level (%) - SE_ACS_INTNT - Primary"
Argentina,ARG,2018,42.55
Argentina,ARG,2019,51.15
Argentina,ARG,2020,57.73
Bangladesh,BGD,2020,49.3
Bangladesh,BGD,2021,49.3
Belgium,BEL,2018,100.0
China,CHN,2018,96.25
China,CHN,2019,97.82
China,CHN,2020,98.43
China,CHN,2021,98.56
Egypt,EGY,2019,71.28
France,FRA,2018,99.0
France,FRA,2019,99.0
India,IND,2019,6.36
India,IND,2020,7.9
India,IND,2021,10.5
India,IND,2022,20.6
Madagascar,MDG,2018,0.41
Madagascar,MDG,2019,0.12
Myanmar,MMR,2018,0.23
Niger,NER,2018,0.0
Niger,NER,2019,1.21
Niger,NER,2021,1.83
Spain,ESP,2018,100.0
Spain,ESP,2019,100.0
Spain,ESP,2020,100.0
Spain,ESP,2021,100.0
Thailand,THA,2019,99.82
Thailand,THA,2020,99.84
Thailand,THA,2021,99.87
Thailand,THA,2022,99.94
Ukraine,UKR,2018,57.79
Ukraine,UKR,2019,78.42
Ukraine,UKR,2020,93.27
Ukraine,UKR,2021,100.0
Vietnam,VNM,2020,88.88
Vietnam,VNM,2021,83.8
World,OWID_WRL,2018,37.65
World,OWID_WRL,2019,38.54
World,OWID_WRL,2020,39.56
