Entity,Code,Year,15.1.2 - Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_PTD_FRHWTR
Central and Southern Asia (UN),,2000,13.14
Central and Southern Asia (UN),,2005,15.61
Central and Southern Asia (UN),,2010,16.28
Central and Southern Asia (UN),,2015,18.74
Central and Southern Asia (UN),,2020,19.69
Central and Southern Asia (UN),,2022,19.69
Eastern and South-Eastern Asia (UN),,2000,15.12
Eastern and South-Eastern Asia (UN),,2005,19.5
Eastern and South-Eastern Asia (UN),,2010,21.47
Eastern and South-Eastern Asia (UN),,2015,24.31
Eastern and South-Eastern Asia (UN),,2020,28.25
Eastern and South-Eastern Asia (UN),,2022,28.35
Europe (UN),,2000,40.69
Europe (UN),,2005,52.46
Europe (UN),,2010,58.63
Europe (UN),,2015,61.35
Europe (UN),,2020,63.28
Europe (UN),,2022,63.28
Latin America and the Caribbean (UN),,2000,28.35
Latin America and the Caribbean (UN),,2005,38.06
Latin America and the Caribbean (UN),,2010,45.84
Latin America and the Caribbean (UN),,2015,48.59
Latin America and the Caribbean (UN),,2020,50.72
Latin America and the Caribbean (UN),,2022,51.23
Northern America (UN),,2000,21.05
Northern America (UN),,2005,23.89
Northern America (UN),,2010,27.58
Northern America (UN),,2015,28.13
Northern America (UN),,2020,28.94
Northern America (UN),,2022,28.94
Oceania (UN),,2000,20.58
Oceania (UN),,2005,23.05
Oceania (UN),,2010,26.8
Oceania (UN),,2015,29.54
Oceania (UN),,2020,32.08
Oceania (UN),,2022,32.08
World,OWID_WRL,2000,28.12
World,OWID_WRL,2005,35.64
World,OWID_WRL,2010,39.96
World,OWID_WRL,2015,42.36
World,OWID_WRL,2020,44.42
World,OWID_WRL,2022,44.48
